商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),DanielWellington Petit Bondi 皮革手錶 32 DW00100284,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/DanielWellington-Petit-Bondi-%E7%9A%AE%E9%9D%A9%E6%89%8B%E9%8C%B6-32-DW00100284-21006865805629?itemId=21016409856081&vendorItemId=21083600899435&sourceType=search&rank=27&searchId=da35a69a6d84424ab877f3c6a151ae39&q=casio%20%E6%89%8B%E9%8C%B6,"$5,007",casio 手錶,o,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 學測手錶 MQ-24-1E,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E5%AD%B8%E6%B8%AC%E6%89%8B%E9%8C%B6-MQ-24-1E-21008080420886?itemId=21022783545407&vendorItemId=21089818593281&sourceType=search&rank=18&searchId=a05e10b9c8b5441b82b45a8a0e1e1144&q=casio%20%E6%89%8B%E9%8C%B6,$367,casio 手錶,x,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),DanielWellington Petit Bondi 皮革手錶 32 DW00100284,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/DanielWellington-Petit-Bondi-%E7%9A%AE%E9%9D%A9%E6%89%8B%E9%8C%B6-32-DW00100284-21006865805629?itemId=21016409856081&vendorItemId=21083600899435&sourceType=search&rank=27&searchId=da35a69a6d84424ab877f3c6a151ae39&q=casio%20%E6%89%8B%E9%8C%B6,"$5,007",casio 手錶,o,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 女款時尚運動手錶 LRW-200H-7E2V,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E5%A5%B3%E6%AC%BE%E6%99%82%E5%B0%9A%E9%81%8B%E5%8B%95%E6%89%8B%E9%8C%B6-LRW-200H-7E2V-21000061185244?itemId=21000209799179&vendorItemId=21087991490640&sourceType=search&rank=2&searchId=72e608cbd5894cfcadc347139e07b8e3&q=casio%20%E6%89%8B%E9%8C%B6,$547,casio 手錶,x,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 學測手錶 MQ-24-1E,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E5%AD%B8%E6%B8%AC%E6%89%8B%E9%8C%B6-MQ-24-1E-21008080420886?itemId=21022783545407&vendorItemId=21089818593281&sourceType=search&rank=18&searchId=a05e10b9c8b5441b82b45a8a0e1e1144&q=casio%20%E6%89%8B%E9%8C%B6,$367,casio 手錶,x,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 男款指針聚氨酯手錶 MW-240-2BVDF,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E7%94%B7%E6%AC%BE%E6%8C%87%E9%87%9D%E8%81%9A%E6%B0%A8%E9%85%AF%E6%89%8B%E9%8C%B6-MW-240-2BVDF-21007260989164?itemId=21018494531445&vendorItemId=21085634007272&sourceType=search&rank=10&searchId=33ef104c7f454880b516de2f997d65bd&q=casio%20%E6%89%8B%E9%8C%B6,$453,casio 手錶,x,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 女款指針式考試用石英皮革手錶 LTP-V005L-7AUDF,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E5%A5%B3%E6%AC%BE%E6%8C%87%E9%87%9D%E5%BC%8F%E8%80%83%E8%A9%A6%E7%94%A8%E7%9F%B3%E8%8B%B1%E7%9A%AE%E9%9D%A9%E6%89%8B%E9%8C%B6-LTP-V005L-7AUDF-21006402343456?itemId=21013694814755&vendorItemId=21080946336871&sourceType=search&rank=23&searchId=264e4b58d7704b5597bb702b4367645b&q=casio%20%E6%89%8B%E9%8C%B6,$646,casio 手錶,x,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 10ATM防水電子手錶 W-735H-8A2,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-10ATM%E9%98%B2%E6%B0%B4%E9%9B%BB%E5%AD%90%E6%89%8B%E9%8C%B6-W-735H-8A2-21000141484349?itemId=21020808332085&vendorItemId=21087877340942&sourceType=search&rank=17&searchId=28c78083df1f4a88b2b9932acc2fa01e&q=casio%20%E6%89%8B%E9%8C%B6,$977,casio 手錶,x,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 男款金屬手錶,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E7%94%B7%E6%AC%BE%E9%87%91%E5%B1%AC%E6%89%8B%E9%8C%B6-21001298947800?itemId=21002130702205&vendorItemId=21088128152349&sourceType=search&rank=17&searchId=72e608cbd5894cfcadc347139e07b8e3&q=casio%20%E6%89%8B%E9%8C%B6,"$1,006",casio 手錶,x,否
【Daniel Wellington】Dw 手錶  Petite 系列 28Mm/32Mm 米蘭錶(多款任選),CASIO 卡西歐 男款修身設計休閒手錶,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=casio 手錶,2861,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E7%94%B7%E6%AC%BE%E4%BF%AE%E8%BA%AB%E8%A8%AD%E8%A8%88%E4%BC%91%E9%96%92%E6%89%8B%E9%8C%B6-21007178223443?itemId=21018099054609&vendorItemId=21088060816863&sourceType=search&rank=22&searchId=863cbed4ac6d4913b708dae572deec47&q=casio%20%E6%89%8B%E9%8C%B6,$759,casio 手錶,x,否
