商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"apent iPad第6代Apple Pencil收納Y型多折立架平板殼 9.7吋 24.638cm, 薰衣草",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/apent-iPad%E7%AC%AC6%E4%BB%A3Apple-Pencil%E6%94%B6%E7%B4%8DY%E5%9E%8B%E5%A4%9A%E6%8A%98%E7%AB%8B%E6%9E%B6%E5%B9%B3%E6%9D%BF%E6%AE%BC-9.7%E5%90%8B-24.638cm-21002118556444?itemId=21003597003786&vendorItemId=21071582730197&sourceType=search&rank=25&searchId=9edcaa229561404da6a3792a2f371c3d&q=ipad,$263,ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"Simple Line iPad Galaxy Tab 平板電腦保護套 22 x 29 x 2.2 cm, 粉色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/Simple-Line-iPad-Galaxy-Tab-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E4%BF%9D%E8%AD%B7%E5%A5%97-22-x-29-x-2.2-cm-21008027045478?itemId=21022435861784&vendorItemId=21089480425460&sourceType=search&rank=28&searchId=24862500246940db96a2b370a84c1881&q=ipad,$384,ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"UM2 iPad磁性折疊支架固定式, 太空黑, iPad Pro 13(M4 型號)",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/UM2-iPad%E7%A3%81%E6%80%A7%E6%8A%98%E7%96%8A%E6%94%AF%E6%9E%B6%E5%9B%BA%E5%AE%9A%E5%BC%8F-21007655755838?itemId=21024201601080&vendorItemId=21091219177133&sourceType=search&rank=2&searchId=3d6574adf39c4f7fb8b232d155b85dce&q=ipad,"$1,226",ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"tablese iPad Pro 3/4/5/6代11透明凝膠硬質混合保護殼 IF-86, 1個, 灰色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/tablese-iPad-Pro-3%2F4%2F5%2F6%E4%BB%A311%E9%80%8F%E6%98%8E%E5%87%9D%E8%86%A0%E7%A1%AC%E8%B3%AA%E6%B7%B7%E5%90%88%E4%BF%9D%E8%AD%B7%E6%AE%BC-IF-86-21007872484208?itemId=21021509325588&vendorItemId=21089479675063&sourceType=search&rank=10&searchId=113d136b4b344c55834c75aff9c80da6&q=ipad,$366,ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"apent iPad第6代Apple Pencil收納Y型多折立架平板殼 9.7吋 24.638cm, 薰衣草",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/apent-iPad%E7%AC%AC6%E4%BB%A3Apple-Pencil%E6%94%B6%E7%B4%8DY%E5%9E%8B%E5%A4%9A%E6%8A%98%E7%AB%8B%E6%9E%B6%E5%B9%B3%E6%9D%BF%E6%AE%BC-9.7%E5%90%8B-24.638cm-21002118556444?itemId=21003597003786&vendorItemId=21071582730197&sourceType=search&rank=25&searchId=9edcaa229561404da6a3792a2f371c3d&q=ipad,$263,ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"Kamera iPad Pencil 觸控筆 Ultra磁吸充電版 165mm 13.2g, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/Kamera-iPad-Pencil-%E8%A7%B8%E6%8E%A7%E7%AD%86-Ultra%E7%A3%81%E5%90%B8%E5%85%85%E9%9B%BB%E7%89%88-165mm-13.2g-473339562803205?itemId=473339562754053&vendorItemId=473339562803202&sourceType=search&rank=21&searchId=ab2f9aa62c0a4f378831954f3078c8f1&q=ipad,"$1,798",ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"apent iPad第6代Apple Pencil收納Y型多折立架平板殼 9.7吋 24.638cm, 薰衣草",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/apent-iPad%E7%AC%AC6%E4%BB%A3Apple-Pencil%E6%94%B6%E7%B4%8DY%E5%9E%8B%E5%A4%9A%E6%8A%98%E7%AB%8B%E6%9E%B6%E5%B9%B3%E6%9D%BF%E6%AE%BC-9.7%E5%90%8B-24.638cm-21002118556444?itemId=21003597003786&vendorItemId=21071582730197&sourceType=search&rank=25&searchId=9edcaa229561404da6a3792a2f371c3d&q=ipad,$263,ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"apent iPad第6代Apple Pencil收納Y型多折立架平板殼 9.7吋 24.638cm, 薰衣草",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/apent-iPad%E7%AC%AC6%E4%BB%A3Apple-Pencil%E6%94%B6%E7%B4%8DY%E5%9E%8B%E5%A4%9A%E6%8A%98%E7%AB%8B%E6%9E%B6%E5%B9%B3%E6%9D%BF%E6%AE%BC-9.7%E5%90%8B-24.638cm-21002118556444?itemId=21003597003786&vendorItemId=21071582730197&sourceType=search&rank=25&searchId=9edcaa229561404da6a3792a2f371c3d&q=ipad,$263,ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"apent iPad第6代Apple Pencil收納Y型多折立架平板殼 9.7吋 24.638cm, 薰衣草",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/apent-iPad%E7%AC%AC6%E4%BB%A3Apple-Pencil%E6%94%B6%E7%B4%8DY%E5%9E%8B%E5%A4%9A%E6%8A%98%E7%AB%8B%E6%9E%B6%E5%B9%B3%E6%9D%BF%E6%AE%BC-9.7%E5%90%8B-24.638cm-21002118556444?itemId=21003597003786&vendorItemId=21071582730197&sourceType=search&rank=25&searchId=9edcaa229561404da6a3792a2f371c3d&q=ipad,$263,ipad,x,否
【Apple】S級福利品 Ipad Pro 第5代(12.9吋/256G/Wifi)(官方整新機),"apent iPad第6代Apple Pencil收納Y型多折立架平板殼 9.7吋 24.638cm, 薰衣草",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=ipad,25911,https://www.tw.coupang.com/products/apent-iPad%E7%AC%AC6%E4%BB%A3Apple-Pencil%E6%94%B6%E7%B4%8DY%E5%9E%8B%E5%A4%9A%E6%8A%98%E7%AB%8B%E6%9E%B6%E5%B9%B3%E6%9D%BF%E6%AE%BC-9.7%E5%90%8B-24.638cm-21002118556444?itemId=21003597003786&vendorItemId=21071582730197&sourceType=search&rank=25&searchId=9edcaa229561404da6a3792a2f371c3d&q=ipad,$263,ipad,x,否
