商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"VRSDESIGN EZ-Q Guard無塵易貼防指紋防彈全覆蓋鋼化玻璃液晶保護膜2片+易貼套件1套, 1組",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/VRSDESIGN-EZ-Q-Guard%E7%84%A1%E5%A1%B5%E6%98%93%E8%B2%BC%E9%98%B2%E6%8C%87%E7%B4%8B%E9%98%B2%E5%BD%88%E5%85%A8%E8%A6%86%E8%93%8B%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E6%B6%B2%E6%99%B6%E4%BF%9D%E8%AD%B7%E8%86%9C2%E7%89%87%2B%E6%98%93%E8%B2%BC%E5%A5%97%E4%BB%B61%E5%A5%97-21006569939171?itemId=21014747888051&vendorItemId=21086214990894&sourceType=search&rank=5&searchId=c94672f596bc46aeaf1a0f5c3c705902&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$519,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"9H鋼化玻璃保護貼 Iphone14/13PRO 6.1吋適用 黑色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/9H%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E4%BF%9D%E8%AD%B7%E8%B2%BC-Iphone14%2F13PRO-6.1%E5%90%8B%E9%81%A9%E7%94%A8-%E9%BB%91%E8%89%B2-472924704145412?itemId=472924704161794&vendorItemId=472924704178178&sourceType=search&rank=1&searchId=40b8383e24e245ab925a5300b9c0c01b&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$114,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"零皮膚隱私 Sim Bongsa 全覆蓋強化玻璃手機螢幕保護貼 2p 套裝, 1組",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/%E9%9B%B6%E7%9A%AE%E8%86%9A%E9%9A%B1%E7%A7%81-Sim-Bongsa-%E5%85%A8%E8%A6%86%E8%93%8B%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E6%89%8B%E6%A9%9F%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-2p-%E5%A5%97%E8%A3%9D-21007553547448?itemId=21019872011184&vendorItemId=21086972709982&sourceType=search&rank=17&searchId=d83caee4dd484cf088bcfc8f9b0c5a1f&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$260,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"pines iphone鏡面鋼化玻璃屏幕保護膜, 2張",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/pines-iphone%E9%8F%A1%E9%9D%A2%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E5%B1%8F%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%86%9C-21007427049552?itemId=21019281208810&vendorItemId=21086396194568&sourceType=search&rank=1&searchId=d83caee4dd484cf088bcfc8f9b0c5a1f&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$248,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"9H鋼化玻璃保護貼 Iphone14/13PRO 6.1吋適用 黑色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/9H%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E4%BF%9D%E8%AD%B7%E8%B2%BC-Iphone14%2F13PRO-6.1%E5%90%8B%E9%81%A9%E7%94%A8-%E9%BB%91%E8%89%B2-472924704145412?itemId=472924704161794&vendorItemId=472924704178178&sourceType=search&rank=1&searchId=40b8383e24e245ab925a5300b9c0c01b&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$114,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"iPhone 13 Pro Max鋼化玻璃鏡頭保護貼, 灰色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/iPhone-13-Pro-Max%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E9%8F%A1%E9%A0%AD%E4%BF%9D%E8%AD%B7%E8%B2%BC-21006387149767?itemId=21013597291289&vendorItemId=21080850399646&sourceType=search&rank=11&searchId=40b8383e24e245ab925a5300b9c0c01b&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$157,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"9H鋼化玻璃保護貼 Iphone14/13PRO 6.1吋適用 黑色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/9H%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E4%BF%9D%E8%AD%B7%E8%B2%BC-Iphone14%2F13PRO-6.1%E5%90%8B%E9%81%A9%E7%94%A8-%E9%BB%91%E8%89%B2-472924704145412?itemId=472924704161794&vendorItemId=472924704178178&sourceType=search&rank=1&searchId=40b8383e24e245ab925a5300b9c0c01b&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$114,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"9H鋼化玻璃保護貼 Iphone14/13PRO 6.1吋適用 黑色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/9H%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E4%BF%9D%E8%AD%B7%E8%B2%BC-Iphone14%2F13PRO-6.1%E5%90%8B%E9%81%A9%E7%94%A8-%E9%BB%91%E8%89%B2-472924704145412?itemId=472924704161794&vendorItemId=472924704178178&sourceType=search&rank=1&searchId=40b8383e24e245ab925a5300b9c0c01b&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$114,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"9H鋼化玻璃保護貼 Iphone14/13PRO 6.1吋適用 黑色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/9H%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E4%BF%9D%E8%AD%B7%E8%B2%BC-Iphone14%2F13PRO-6.1%E5%90%8B%E9%81%A9%E7%94%A8-%E9%BB%91%E8%89%B2-472924704145412?itemId=472924704161794&vendorItemId=472924704178178&sourceType=search&rank=1&searchId=40b8383e24e245ab925a5300b9c0c01b&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$114,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"iPhone 13 Pro Max鋼化玻璃鏡頭保護貼, 灰色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/iPhone-13-Pro-Max%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E9%8F%A1%E9%A0%AD%E4%BF%9D%E8%AD%B7%E8%B2%BC-21006387149767?itemId=21013597291289&vendorItemId=21080850399646&sourceType=search&rank=11&searchId=40b8383e24e245ab925a5300b9c0c01b&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$157,iphone 13保護貼,x,否
【Simmpo 簡單貼】Iphone 12/13/14/15 系列 德國萊茵Tuv抗藍光簡單貼(護眼透明版)  ,"EASY POSITION AG防指紋螢幕保護貼 3入, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=iphone 13保護貼,1173,https://www.tw.coupang.com/products/EASY-POSITION-AG%E9%98%B2%E6%8C%87%E7%B4%8B%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-3%E5%85%A5-21006203656794?itemId=21012325076611&vendorItemId=21079595109256&sourceType=search&rank=28&searchId=90017b3d6fa64b9680150013ada062a6&q=iphone%2013%E4%BF%9D%E8%AD%B7%E8%B2%BC,$338,iphone 13保護貼,x,否
