商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Da&T 谷津】Q-J Dac前級耳擴一體機(增益可調 台灣製造 兩年保固),"sE Electronics TNT內嵌麥克風前置放大器, DM2",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,21800,https://www.tw.coupang.com/products/sE-Electronics-TNT%E5%85%A7%E5%B5%8C%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21007260632223?itemId=21018492658126&vendorItemId=21085632186043&sourceType=search&rank=4&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$3,956",前級擴大+dac,x,否
【Da&T 谷津】Q-J Dac前級耳擴一體機(增益可調 台灣製造 兩年保固),"sE Electronics TNT內嵌麥克風前置放大器, DM2",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,21800,https://www.tw.coupang.com/products/sE-Electronics-TNT%E5%85%A7%E5%B5%8C%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21007260632223?itemId=21018492658126&vendorItemId=21085632186043&sourceType=search&rank=4&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$3,956",前級擴大+dac,x,否
【Da&T 谷津】Q-J Dac前級耳擴一體機(增益可調 台灣製造 兩年保固),"sE Electronics DM1 內聯麥克風前置放大器, 單品, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,21800,https://www.tw.coupang.com/products/sE-Electronics-DM1-%E5%85%A7%E8%81%AF%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21000148236984?itemId=21000428740918&vendorItemId=21004057061770&sourceType=search&rank=2&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$2,845",前級擴大+dac,x,否
【Da&T 谷津】Q-J Dac前級耳擴一體機(增益可調 台灣製造 兩年保固),"sE Electronics DM1 內聯麥克風前置放大器, 單品, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,21800,https://www.tw.coupang.com/products/sE-Electronics-DM1-%E5%85%A7%E8%81%AF%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21000148236984?itemId=21000428740918&vendorItemId=21004057061770&sourceType=search&rank=2&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$2,845",前級擴大+dac,x,否
【Ifi Audio】Zen Dac V3 前級擴大機 Dac(公司貨保證),"sE Electronics TNT內嵌麥克風前置放大器, DM2",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,6900,https://www.tw.coupang.com/products/sE-Electronics-TNT%E5%85%A7%E5%B5%8C%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21007260632223?itemId=21018492658126&vendorItemId=21085632186043&sourceType=search&rank=4&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$3,956",前級擴大+dac,x,否
【Ifi Audio】Zen Dac V3 前級擴大機 Dac(公司貨保證),"sE Electronics TNT內嵌麥克風前置放大器, DM2",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,6900,https://www.tw.coupang.com/products/sE-Electronics-TNT%E5%85%A7%E5%B5%8C%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21007260632223?itemId=21018492658126&vendorItemId=21085632186043&sourceType=search&rank=4&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$3,956",前級擴大+dac,x,否
【Ifi Audio】Zen Dac V3 前級擴大機 Dac(公司貨保證),"sE Electronics DM1 內聯麥克風前置放大器, 單品, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,6900,https://www.tw.coupang.com/products/sE-Electronics-DM1-%E5%85%A7%E8%81%AF%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21000148236984?itemId=21000428740918&vendorItemId=21004057061770&sourceType=search&rank=2&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$2,845",前級擴大+dac,x,否
【Ifi Audio】Zen Dac V3 前級擴大機 Dac(公司貨保證),"sE Electronics DM1 內聯麥克風前置放大器, 單品, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,6900,https://www.tw.coupang.com/products/sE-Electronics-DM1-%E5%85%A7%E8%81%AF%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21000148236984?itemId=21000428740918&vendorItemId=21004057061770&sourceType=search&rank=2&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$2,845",前級擴大+dac,x,否
【Audiolab】Usb Dac 數位前級 耳機擴大器(M-Dac + 旗艦增強版),"sE Electronics TNT內嵌麥克風前置放大器, DM2",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,41900,https://www.tw.coupang.com/products/sE-Electronics-TNT%E5%85%A7%E5%B5%8C%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21007260632223?itemId=21018492658126&vendorItemId=21085632186043&sourceType=search&rank=4&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$3,956",前級擴大+dac,x,否
【Audiolab】Usb Dac 數位前級 耳機擴大器(M-Dac + 旗艦增強版),"sE Electronics TNT內嵌麥克風前置放大器, DM2",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,41900,https://www.tw.coupang.com/products/sE-Electronics-TNT%E5%85%A7%E5%B5%8C%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21007260632223?itemId=21018492658126&vendorItemId=21085632186043&sourceType=search&rank=4&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$3,956",前級擴大+dac,x,否
【Audiolab】Usb Dac 數位前級 耳機擴大器(M-Dac + 旗艦增強版),"sE Electronics DM1 內聯麥克風前置放大器, 單品, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,41900,https://www.tw.coupang.com/products/sE-Electronics-DM1-%E5%85%A7%E8%81%AF%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21000148236984?itemId=21000428740918&vendorItemId=21004057061770&sourceType=search&rank=2&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$2,845",前級擴大+dac,x,否
【Audiolab】Usb Dac 數位前級 耳機擴大器(M-Dac + 旗艦增強版),"sE Electronics DM1 內聯麥克風前置放大器, 單品, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=前級擴大+dac,41900,https://www.tw.coupang.com/products/sE-Electronics-DM1-%E5%85%A7%E8%81%AF%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21000148236984?itemId=21000428740918&vendorItemId=21004057061770&sourceType=search&rank=2&searchId=a6c414085e4d4c6b9bf7fefe7c67ac13&q=%E5%89%8D%E7%B4%9A%E6%93%B4%E5%A4%A7%20dac,"$2,845",前級擴大+dac,x,否
