商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"dripo 牧場即溶咖啡牛乳, 16g, 25條, 4盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/dripo-%E7%89%A7%E5%A0%B4%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1%E7%89%9B%E4%B9%B3-164224814792707?itemId=359983052963845&vendorItemId=359983052980227&sourceType=search&rank=1&searchId=85dad3c47a264b12b6672e2e8367ead7&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,"$1,136",咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"KEY COFFEE 特級深焙即溶咖啡, 80g, 1罐",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/KEY-COFFEE-%E7%89%B9%E7%B4%9A%E6%B7%B1%E7%84%99%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-21000021432756?itemId=21000083764684&vendorItemId=21003142595565&sourceType=search&rank=18&searchId=e8a9f2dcd1f74a0eae9533144daf833e&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,$174,咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"AGF 微奢華咖啡店 贅沢咖啡 黑咖啡, 2g, 20條, 1盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/AGF-%E5%BE%AE%E5%A5%A2%E8%8F%AF%E5%92%96%E5%95%A1%E5%BA%97-%E8%B4%85%E6%B2%A2%E5%92%96%E5%95%A1-%E9%BB%91%E5%92%96%E5%95%A1-459234915352583?itemId=459234915368969&vendorItemId=459234915368966&sourceType=search&rank=2&searchId=e8a9f2dcd1f74a0eae9533144daf833e&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,$199,咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"JACOBS 經典即溶咖啡 CAFÉ CREMA, 1.8g, 25包, 1盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/JACOBS-%E7%B6%93%E5%85%B8%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-CAF%C3%89-CREMA-465308674408450?itemId=465308674408451&vendorItemId=465308674392064&sourceType=search&rank=7&searchId=41adef10831c4789b266c9bf6aa3b906&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,$189,咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"AGF Blendy LATORY 濃厚苦味咖啡拿鐵, 9g, 20條, 2盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/AGF-Blendy-LATORY-%E6%BF%83%E5%8E%9A%E8%8B%A6%E5%91%B3%E5%92%96%E5%95%A1%E6%8B%BF%E9%90%B5-458756441702400?itemId=468995639574529&vendorItemId=468995639558145&sourceType=search&rank=3&searchId=41adef10831c4789b266c9bf6aa3b906&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,$358,咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"dripo 牧場即溶咖啡牛乳, 16g, 25條, 4盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/dripo-%E7%89%A7%E5%A0%B4%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1%E7%89%9B%E4%B9%B3-164224814792707?itemId=359983052963845&vendorItemId=359983052980227&sourceType=search&rank=1&searchId=85dad3c47a264b12b6672e2e8367ead7&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,"$1,136",咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"AGF Maxim Stick咖啡, 2g, 100條, 1盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/AGF-Maxim-Stick%E5%92%96%E5%95%A1-427650724118530?itemId=427650724069376&vendorItemId=427650724102144&sourceType=search&rank=6&searchId=9461c8e70b8d4136a2b4531c4834ce31&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,$560,咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"AGF 微奢華咖啡店 贅沢咖啡 黑咖啡, 2g, 20條, 1盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/AGF-%E5%BE%AE%E5%A5%A2%E8%8F%AF%E5%92%96%E5%95%A1%E5%BA%97-%E8%B4%85%E6%B2%A2%E5%92%96%E5%95%A1-%E9%BB%91%E5%92%96%E5%95%A1-459234915352583?itemId=459234915368969&vendorItemId=459234915368966&sourceType=search&rank=2&searchId=e8a9f2dcd1f74a0eae9533144daf833e&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,$199,咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"dripo 牧場即溶咖啡牛乳, 16g, 25條, 4盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/dripo-%E7%89%A7%E5%A0%B4%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1%E7%89%9B%E4%B9%B3-164224814792707?itemId=359983052963845&vendorItemId=359983052980227&sourceType=search&rank=1&searchId=85dad3c47a264b12b6672e2e8367ead7&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,"$1,136",咖啡即溶,x,否
【Dripo】(雙11限定)即溶黑咖啡(2盒組贈送復古奶瓶空瓶一瓶),"G7 三合一咖啡, 16g, 50包, 6袋",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=咖啡即溶,299,https://www.tw.coupang.com/products/G7-%E4%B8%89%E5%90%88%E4%B8%80%E5%92%96%E5%95%A1-152286328209421?itemId=382413226065925&vendorItemId=382413226098688&sourceType=search&rank=23&searchId=09eb90f859e64dbc8e068a430600d6f6&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6,"$1,014",咖啡即溶,x,否
