商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"Market Plan 多功能子母扣掛勾 母扣 50入+子扣50入, 1組, 透明",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/Market-Plan-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%AD%90%E6%AF%8D%E6%89%A3%E6%8E%9B%E5%8B%BE-%E6%AF%8D%E6%89%A3-50%E5%85%A5%2B%E5%AD%90%E6%89%A350%E5%85%A5-21006398083761?itemId=21013669972042&vendorItemId=21080922027496&sourceType=search&rank=&searchId=191e2d48bd7443048bbbde929fa7201c&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$203,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"子母扣, 米色, 7組",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/%E5%AD%90%E6%AF%8D%E6%89%A3-21006666107454?itemId=21020787386376&vendorItemId=21088117679634&sourceType=search&rank=22&searchId=b13a9384435340e9a077008bd08e0df2&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$212,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"3M 超黏子母扣 香菇頭 SJ3560, 1組, 白色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/3M-%E8%B6%85%E9%BB%8F%E5%AD%90%E6%AF%8D%E6%89%A3-%E9%A6%99%E8%8F%87%E9%A0%AD-SJ3560-286016338362381?itemId=154467039133705&vendorItemId=154467827679233&sourceType=search&rank=2&searchId=191e2d48bd7443048bbbde929fa7201c&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$130,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"按扣套組 子扣 7入+母扣 7入, 1組, 深灰色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/%E6%8C%89%E6%89%A3%E5%A5%97%E7%B5%84-%E5%AD%90%E6%89%A3-7%E5%85%A5%2B%E6%AF%8D%E6%89%A3-7%E5%85%A5-21008468917654?itemId=21020787209981&vendorItemId=21087946003016&sourceType=search&rank=25&searchId=ec6488706e6d44839c17d202d82296f4&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$155,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"Market Plan 多功能子母扣掛勾 母扣 50入+子扣50入, 1組, 透明",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/Market-Plan-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%AD%90%E6%AF%8D%E6%89%A3%E6%8E%9B%E5%8B%BE-%E6%AF%8D%E6%89%A3-50%E5%85%A5%2B%E5%AD%90%E6%89%A350%E5%85%A5-21006398083761?itemId=21013669972042&vendorItemId=21080922027496&sourceType=search&rank=&searchId=191e2d48bd7443048bbbde929fa7201c&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$203,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"子母扣250型 PW15-T65-0310 100cm, 黑色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/%E5%AD%90%E6%AF%8D%E6%89%A3250%E5%9E%8B-PW15-T65-0310-100cm-471556119560195?itemId=471556119527427&vendorItemId=471556119527426&sourceType=search&rank=20&searchId=191e2d48bd7443048bbbde929fa7201c&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$389,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"按扣套組 子扣 7入+母扣 7入, 1組, 灰色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/%E6%8C%89%E6%89%A3%E5%A5%97%E7%B5%84-%E5%AD%90%E6%89%A3-7%E5%85%A5%2B%E6%AF%8D%E6%89%A3-7%E5%85%A5-21008468917654?itemId=21020787209880&vendorItemId=21087921360640&sourceType=search&rank=21&searchId=94cd0b93cd2b4b63a2e5ad741dff5eb6&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$152,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"Market Plan 多功能子母扣掛勾 母扣 50入+子扣50入, 1組, 透明",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/Market-Plan-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%AD%90%E6%AF%8D%E6%89%A3%E6%8E%9B%E5%8B%BE-%E6%AF%8D%E6%89%A3-50%E5%85%A5%2B%E5%AD%90%E6%89%A350%E5%85%A5-21006398083761?itemId=21013669972042&vendorItemId=21080922027496&sourceType=search&rank=&searchId=191e2d48bd7443048bbbde929fa7201c&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$203,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"按扣套組 子扣 7入+母扣 7入, 1組, 深灰色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/%E6%8C%89%E6%89%A3%E5%A5%97%E7%B5%84-%E5%AD%90%E6%89%A3-7%E5%85%A5%2B%E6%AF%8D%E6%89%A3-7%E5%85%A5-21008468917654?itemId=21020787209981&vendorItemId=21087946003016&sourceType=search&rank=25&searchId=ec6488706e6d44839c17d202d82296f4&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$155,子母扣,x,否
【3M】3M 無痕 畫框 相框 掛扣 子母扣,"五爪扣 銀色100入組+彩色50入組+工具組, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=子母扣,59,https://www.tw.coupang.com/products/%E4%BA%94%E7%88%AA%E6%89%A3-%E9%8A%80%E8%89%B2100%E5%85%A5%E7%B5%84%2B%E5%BD%A9%E8%89%B250%E5%85%A5%E7%B5%84%2B%E5%B7%A5%E5%85%B7%E7%B5%84-21007167624164?itemId=21018050652988&vendorItemId=21085903674662&sourceType=search&rank=26&searchId=eaf4e62f01dd46ddb67114d3e484b4d1&q=%E5%AD%90%E6%AF%8D%E6%89%A3,$234,子母扣,x,否
