商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"Luluhom 迷你斜背包手機包, 粉色","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/Luluhom-%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85%E6%89%8B%E6%A9%9F%E5%8C%85-21007063392119?itemId=21017520092775&vendorItemId=21086419884205&sourceType=search&rank=27&searchId=7abe7805a4d746daae8a6a243c72a700&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$255,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,手機斜背包,"https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-21006380631237?itemId=21013554568361&vendorItemId=21080808147712&sourceType=search&rank=18&searchId=fcf0483420524c32aae7a6dd98309f10&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$576,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"女款可愛印花觸控手機側背包 M210708-1442, 灰色","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E5%8F%AF%E6%84%9B%E5%8D%B0%E8%8A%B1%E8%A7%B8%E6%8E%A7%E6%89%8B%E6%A9%9F%E5%81%B4%E8%83%8C%E5%8C%85-M210708-1442-21005875951711?itemId=21010293721807&vendorItemId=21077576063421&sourceType=search&rank=19&searchId=f201049dffed4151aeb590180e8fe13a&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$473,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"迷你單肩手機斜背包, 淺褐色的","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/%E8%BF%B7%E4%BD%A0%E5%96%AE%E8%82%A9%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-21005894839854?itemId=21010377262312&vendorItemId=21077659357772&sourceType=search&rank=29&searchId=12c9057e2e724f598a0468130707c614&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$326,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"Doopa Moltia 女士皮革斜挎包單肩包方形多口袋拉鍊純色啞光輕便迷你包四季女士斜挎包女士單肩包包, 黑色","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/Doopa-Moltia-%E5%A5%B3%E5%A3%AB%E7%9A%AE%E9%9D%A9%E6%96%9C%E6%8C%8E%E5%8C%85%E5%96%AE%E8%82%A9%E5%8C%85%E6%96%B9%E5%BD%A2%E5%A4%9A%E5%8F%A3%E8%A2%8B%E6%8B%89%E9%8D%8A%E7%B4%94%E8%89%B2%E5%95%9E%E5%85%89%E8%BC%95%E4%BE%BF%E8%BF%B7%E4%BD%A0%E5%8C%85%E5%9B%9B%E5%AD%A3%E5%A5%B3%E5%A3%AB%E6%96%9C%E6%8C%8E%E5%8C%85%E5%A5%B3%E5%A3%AB%E5%96%AE%E8%82%A9%E5%8C%85%E5%8C%85-21007660029704?itemId=21020405154984&vendorItemId=21087487408554&sourceType=search&rank=28&searchId=f2b2edcd460c4e96a865ed73acf07966&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$568,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"女款皮革運動迷你斜背手機包, 象牙","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E7%9A%AE%E9%9D%A9%E9%81%8B%E5%8B%95%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85-21006059536679?itemId=21011136014905&vendorItemId=21078414517321&sourceType=search&rank=4&searchId=263de7fbe3f34bf7a7372d0b7ac433af&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$454,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"Doopa Moltia 女士皮革斜挎包單肩包方形多口袋拉鍊純色啞光輕便迷你包四季女士斜挎包女士單肩包包, 黑色","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/Doopa-Moltia-%E5%A5%B3%E5%A3%AB%E7%9A%AE%E9%9D%A9%E6%96%9C%E6%8C%8E%E5%8C%85%E5%96%AE%E8%82%A9%E5%8C%85%E6%96%B9%E5%BD%A2%E5%A4%9A%E5%8F%A3%E8%A2%8B%E6%8B%89%E9%8D%8A%E7%B4%94%E8%89%B2%E5%95%9E%E5%85%89%E8%BC%95%E4%BE%BF%E8%BF%B7%E4%BD%A0%E5%8C%85%E5%9B%9B%E5%AD%A3%E5%A5%B3%E5%A3%AB%E6%96%9C%E6%8C%8E%E5%8C%85%E5%A5%B3%E5%A3%AB%E5%96%AE%E8%82%A9%E5%8C%85%E5%8C%85-21007660029704?itemId=21020405154984&vendorItemId=21087487408554&sourceType=search&rank=28&searchId=f2b2edcd460c4e96a865ed73acf07966&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$568,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"Doopa Moltia 女士皮革斜挎包單肩包方形多口袋拉鍊純色啞光輕便迷你包四季女士斜挎包女士單肩包包, 黑色","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/Doopa-Moltia-%E5%A5%B3%E5%A3%AB%E7%9A%AE%E9%9D%A9%E6%96%9C%E6%8C%8E%E5%8C%85%E5%96%AE%E8%82%A9%E5%8C%85%E6%96%B9%E5%BD%A2%E5%A4%9A%E5%8F%A3%E8%A2%8B%E6%8B%89%E9%8D%8A%E7%B4%94%E8%89%B2%E5%95%9E%E5%85%89%E8%BC%95%E4%BE%BF%E8%BF%B7%E4%BD%A0%E5%8C%85%E5%9B%9B%E5%AD%A3%E5%A5%B3%E5%A3%AB%E6%96%9C%E6%8C%8E%E5%8C%85%E5%A5%B3%E5%A3%AB%E5%96%AE%E8%82%A9%E5%8C%85%E5%8C%85-21007660029704?itemId=21020405154984&vendorItemId=21087487408554&sourceType=search&rank=28&searchId=f2b2edcd460c4e96a865ed73acf07966&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$568,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"Florello手機包皮革肩背包迷你斜背包, 黃色","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/Florello%E6%89%8B%E6%A9%9F%E5%8C%85%E7%9A%AE%E9%9D%A9%E8%82%A9%E8%83%8C%E5%8C%85%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85-21007199014375?itemId=21018192490781&vendorItemId=21085341213193&sourceType=search&rank=1&searchId=c82c104781f647d9be51f3c5d31bcec8&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$279,"手機包,斜背包",x,否
【Sayaka 紗彌佳】雙11 外出包 手機斜背包 日本百搭繽紛多色輕量設計防潑水 散策首選 手機包 多功能包 工作,"尼龍鏈條迷你斜挎包女士半月形包單肩包流浪包女士包黑色日常包手機包, 黑色","https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=手機包,斜背包",384,https://www.tw.coupang.com/products/%E5%B0%BC%E9%BE%8D%E9%8F%88%E6%A2%9D%E8%BF%B7%E4%BD%A0%E6%96%9C%E6%8C%8E%E5%8C%85%E5%A5%B3%E5%A3%AB%E5%8D%8A%E6%9C%88%E5%BD%A2%E5%8C%85%E5%96%AE%E8%82%A9%E5%8C%85%E6%B5%81%E6%B5%AA%E5%8C%85%E5%A5%B3%E5%A3%AB%E5%8C%85%E9%BB%91%E8%89%B2%E6%97%A5%E5%B8%B8%E5%8C%85%E6%89%8B%E6%A9%9F%E5%8C%85-21007110140900?itemId=21017772405328&vendorItemId=21085512130956&sourceType=search&rank=4&searchId=ccbe8b44019c4766a827ab0b1c492918&q=%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85,$373,"手機包,斜背包",x,否
