商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"INTEX Dura-Beam Fiber-tech 經典充氣床墊, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/INTEX-Dura-Beam-Fiber-tech-%E7%B6%93%E5%85%B8%E5%85%85%E6%B0%A3%E5%BA%8A%E5%A2%8A-252601547309081?itemId=252601547309083&vendorItemId=252603355070485&sourceType=search&rank=8&searchId=0676a69430a84ae69dd646ccff87c06c&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,$768,氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"INTEX Durabeam Fiber-tech 自動充氣標準充氣床墊 1個, 白色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/INTEX-Durabeam-Fiber-tech-%E8%87%AA%E5%8B%95%E5%85%85%E6%B0%A3%E6%A8%99%E6%BA%96%E5%85%85%E6%B0%A3%E5%BA%8A%E5%A2%8A-1%E5%80%8B-252603355070481?itemId=252601547309074&vendorItemId=252602503643139&sourceType=search&rank=11&searchId=0676a69430a84ae69dd646ccff87c06c&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,"$1,592",氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),GRAND REST 三折記憶單人海綿床墊,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/GRAND-REST-%E4%B8%89%E6%8A%98%E8%A8%98%E6%86%B6%E5%96%AE%E4%BA%BA%E6%B5%B7%E7%B6%BF%E5%BA%8A%E5%A2%8A-169323503009793?itemId=169323964366849&vendorItemId=169323503009792&sourceType=search&rank=22&searchId=a9944bb8df33498c826bfb5f4260ebb1&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,"$4,949",氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"INTEX Dura-Beam Fiber-tech 經典充氣床墊, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/INTEX-Dura-Beam-Fiber-tech-%E7%B6%93%E5%85%B8%E5%85%85%E6%B0%A3%E5%BA%8A%E5%A2%8A-252601547309081?itemId=252601547309083&vendorItemId=252603355070485&sourceType=search&rank=8&searchId=0676a69430a84ae69dd646ccff87c06c&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,$768,氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),Natural Camp Air Mat 自排斥自動充電野營墊戶外露營便攜式床墊雙人大號高 40cm 內置泵,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/Natural-Camp-Air-Mat-%E8%87%AA%E6%8E%92%E6%96%A5%E8%87%AA%E5%8B%95%E5%85%85%E9%9B%BB%E9%87%8E%E7%87%9F%E5%A2%8A%E6%88%B6%E5%A4%96%E9%9C%B2%E7%87%9F%E4%BE%BF%E6%94%9C%E5%BC%8F%E5%BA%8A%E5%A2%8A%E9%9B%99%E4%BA%BA%E5%A4%A7%E8%99%9F%E9%AB%98-40cm-%E5%85%A7%E7%BD%AE%E6%B3%B5-21007065473098?itemId=21017531796460&vendorItemId=21086703530927&sourceType=search&rank=2&searchId=c94e274142934ab7aa69438f82975579&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,"$1,985",氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"荒牧 單人三層露營休閒一鍵自動充氣墊床 3.7kg, 香檳色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/%E8%8D%92%E7%89%A7-%E5%96%AE%E4%BA%BA%E4%B8%89%E5%B1%A4%E9%9C%B2%E7%87%9F%E4%BC%91%E9%96%92%E4%B8%80%E9%8D%B5%E8%87%AA%E5%8B%95%E5%85%85%E6%B0%A3%E5%A2%8A%E5%BA%8A-3.7kg-478743613079553?itemId=478743613095937&vendorItemId=478743613128704&sourceType=search&rank=25&searchId=0676a69430a84ae69dd646ccff87c06c&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,"$2,990",氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"ALASKABLACK 單人充氣床墊, 海軍+灰色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/ALASKABLACK-%E5%96%AE%E4%BA%BA%E5%85%85%E6%B0%A3%E5%BA%8A%E5%A2%8A-21005715294432?itemId=21009541884202&vendorItemId=21078004139680&sourceType=search&rank=&searchId=62462a0e6dc640b5a824e3fb975d738b&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,$684,氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"家裡真好露營戶外充氣床墊 基本款, 灰色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/%E5%AE%B6%E8%A3%A1%E7%9C%9F%E5%A5%BD%E9%9C%B2%E7%87%9F%E6%88%B6%E5%A4%96%E5%85%85%E6%B0%A3%E5%BA%8A%E5%A2%8A-%E5%9F%BA%E6%9C%AC%E6%AC%BE-21005924143441?itemId=21010508748634&vendorItemId=21077790398961&sourceType=search&rank=26&searchId=e5ea76aa7d3842228da2ffac019f4299&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,"$4,324",氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"陌生衣櫃露營用氣墊床氣沙發床 UNC-93-2, 橘子",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/%E9%99%8C%E7%94%9F%E8%A1%A3%E6%AB%83%E9%9C%B2%E7%87%9F%E7%94%A8%E6%B0%A3%E5%A2%8A%E5%BA%8A%E6%B0%A3%E6%B2%99%E7%99%BC%E5%BA%8A-UNC-93-2-21005108995301?itemId=21006969951663&vendorItemId=21074262354892&sourceType=search&rank=11&searchId=e5ea76aa7d3842228da2ffac019f4299&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,$488,氣墊床,x,否
【Intex 原廠公司貨】單人野營充氣床墊/露營睡墊-寬72Cm-灰藍色(67998),"INTEX Durabeam Fiber-tech 自動充氣標準充氣床墊 1個, 白色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=氣墊床,612,https://www.tw.coupang.com/products/INTEX-Durabeam-Fiber-tech-%E8%87%AA%E5%8B%95%E5%85%85%E6%B0%A3%E6%A8%99%E6%BA%96%E5%85%85%E6%B0%A3%E5%BA%8A%E5%A2%8A-1%E5%80%8B-252603355070481?itemId=252601547309074&vendorItemId=252602503643139&sourceType=search&rank=11&searchId=0676a69430a84ae69dd646ccff87c06c&q=%E6%B0%A3%E5%A2%8A%E5%BA%8A,"$1,592",氣墊床,x,否
