商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"DANCELIGHT 舞光 LED 10W 全電壓泡燈 E27 LED-E2710WR 3000K, 黃光, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/DANCELIGHT-%E8%88%9E%E5%85%89-LED-10W-%E5%85%A8%E9%9B%BB%E5%A3%93%E6%B3%A1%E7%87%88-E27-LED-E2710WR-3000K-464275046858761?itemId=464275046891531&vendorItemId=464275046907908&sourceType=search&rank=29&searchId=3f484f4013e2446e86617de12c4dafb6&q=%E7%87%88%E6%B3%A1,$84,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 18W, 黃光 燈泡色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E8%B6%85%E7%AF%80%E8%83%BD%E9%AB%98%E4%BA%AE%E5%BA%A6-LED-%E7%87%88%E6%B3%A1-18W-453693602250753?itemId=453693602217985&vendorItemId=453693598040073&sourceType=search&rank=4&searchId=d3fa9d497e76484e8fb743089f708914&q=%E7%87%88%E6%B3%A1,$233,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"DANCELIGHT 舞光 LED 10W 全電壓泡燈 E27 LED-E2710WR 3000K, 黃光, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/DANCELIGHT-%E8%88%9E%E5%85%89-LED-10W-%E5%85%A8%E9%9B%BB%E5%A3%93%E6%B3%A1%E7%87%88-E27-LED-E2710WR-3000K-464275046858761?itemId=464275046891531&vendorItemId=464275046907908&sourceType=search&rank=29&searchId=3f484f4013e2446e86617de12c4dafb6&q=%E7%87%88%E6%B3%A1,$84,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"LED雪糕燈泡 9W 6500K LSS9W/865/U/180/P/BBT 直徑46 x 120mm, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/LED%E9%9B%AA%E7%B3%95%E7%87%88%E6%B3%A1-9W-6500K-LSS9W%2F865%2FU%2F180%2FP%2FBBT-%E7%9B%B4%E5%BE%9146-x-120mm-471472808116229?itemId=471472808116230&vendorItemId=471472808083459&sourceType=search&rank=24&searchId=3f484f4013e2446e86617de12c4dafb6&q=%E7%87%88%E6%B3%A1,$106,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"DANCELIGHT 舞光 LED 10W 全電壓泡燈 E27 LED-E2710WR 3000K, 黃光, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/DANCELIGHT-%E8%88%9E%E5%85%89-LED-10W-%E5%85%A8%E9%9B%BB%E5%A3%93%E6%B3%A1%E7%87%88-E27-LED-E2710WR-3000K-464275046858761?itemId=464275046891531&vendorItemId=464275046907908&sourceType=search&rank=29&searchId=3f484f4013e2446e86617de12c4dafb6&q=%E7%87%88%E6%B3%A1,$84,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"探探科技 LED 智能邊緣圓形直射門燈 20W, 燈泡(自然光)+燈罩(白色)",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/%E6%8E%A2%E6%8E%A2%E7%A7%91%E6%8A%80-LED-%E6%99%BA%E8%83%BD%E9%82%8A%E7%B7%A3%E5%9C%93%E5%BD%A2%E7%9B%B4%E5%B0%84%E9%96%80%E7%87%88-20W-21008468772743?itemId=21002575534062&vendorItemId=21070567827118&sourceType=search&rank=5&searchId=352697a5426a497b8cae6fcafb5d0fc0&q=%E7%87%88%E6%B3%A1,$397,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"飛利浦 13W LED易省球泡燈, 自然光, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/%E9%A3%9B%E5%88%A9%E6%B5%A6-13W-LED%E6%98%93%E7%9C%81%E7%90%83%E6%B3%A1%E7%87%88-463228735799301?itemId=463228735832069&vendorItemId=463228735815681&sourceType=search&rank=&searchId=8c63582f221e431ab9c67a022ee145ec&q=%E7%87%88%E6%B3%A1,$140,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"EVERLIGHT 億光 超節能 高亮度LED燈泡 11.8W, 白光 6500K, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E8%B6%85%E7%AF%80%E8%83%BD-%E9%AB%98%E4%BA%AE%E5%BA%A6LED%E7%87%88%E6%B3%A1-11.8W-453693598023685?itemId=453693602201607&vendorItemId=453693602234370&sourceType=search&rank=&searchId=7c96d6ddca374cc6bd4da7308c2afa1a&q=%E7%87%88%E6%B3%A1,$93,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"DANCELIGHT 舞光 免驅投射燈炮 6W 3000K MR16, 黃光, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/DANCELIGHT-%E8%88%9E%E5%85%89-%E5%85%8D%E9%A9%85%E6%8A%95%E5%B0%84%E7%87%88%E7%82%AE-6W-3000K-MR16-479519701925888?itemId=479519701942273&vendorItemId=479519701942272&sourceType=search&rank=10&searchId=3f484f4013e2446e86617de12c4dafb6&q=%E7%87%88%E6%B3%A1,$135,燈泡,x,否
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"DANCELIGHT 舞光 LED燈泡 30K E27 20W, 黃光, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=燈泡,390,https://www.tw.coupang.com/products/DANCELIGHT-%E8%88%9E%E5%85%89-LED%E7%87%88%E6%B3%A1-30K-E27-20W-478027829936132?itemId=478027829985285&vendorItemId=478027829936130&sourceType=search&rank=22&searchId=b8a0e98aaf6b43e48549f1cc80f25dc7&q=%E7%87%88%E6%B3%A1,$505,燈泡,x,否
