商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約筆記型電腦桌, 淺木色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E6%A1%8C-21006155267973?itemId=21011910283054&vendorItemId=21079183207850&sourceType=search&rank=23&searchId=7b3de070478f48ada81c0f0af8ce75f8&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,984",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約無門書桌 書桌 電腦桌 工作桌 辦公桌 100*48*120, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%84%A1%E9%96%80%E6%9B%B8%E6%A1%8C-%E6%9B%B8%E6%A1%8C-%E9%9B%BB%E8%85%A6%E6%A1%8C-%E5%B7%A5%E4%BD%9C%E6%A1%8C-%E8%BE%A6%E5%85%AC%E6%A1%8C-100*48*120-473986622259208?itemId=473986622275592&vendorItemId=473986622242824&sourceType=search&rank=3&searchId=d04fc18fb2fe4afd8bd33815ad8a3229&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,376",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約無門書桌 書桌 電腦桌 工作桌 辦公桌 100*48*120, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%84%A1%E9%96%80%E6%9B%B8%E6%A1%8C-%E6%9B%B8%E6%A1%8C-%E9%9B%BB%E8%85%A6%E6%A1%8C-%E5%B7%A5%E4%BD%9C%E6%A1%8C-%E8%BE%A6%E5%85%AC%E6%A1%8C-100*48*120-473986622259208?itemId=473986622275592&vendorItemId=473986622242824&sourceType=search&rank=3&searchId=d04fc18fb2fe4afd8bd33815ad8a3229&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,376",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約無門書桌 書桌 電腦桌 工作桌 辦公桌 100*48*120, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%84%A1%E9%96%80%E6%9B%B8%E6%A1%8C-%E6%9B%B8%E6%A1%8C-%E9%9B%BB%E8%85%A6%E6%A1%8C-%E5%B7%A5%E4%BD%9C%E6%A1%8C-%E8%BE%A6%E5%85%AC%E6%A1%8C-100*48*120-473986622259208?itemId=473986622275592&vendorItemId=473986622242824&sourceType=search&rank=3&searchId=d04fc18fb2fe4afd8bd33815ad8a3229&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,376",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約無門書桌 書桌 電腦桌 工作桌 辦公桌 100*48*120, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%84%A1%E9%96%80%E6%9B%B8%E6%A1%8C-%E6%9B%B8%E6%A1%8C-%E9%9B%BB%E8%85%A6%E6%A1%8C-%E5%B7%A5%E4%BD%9C%E6%A1%8C-%E8%BE%A6%E5%85%AC%E6%A1%8C-100*48*120-473986622259208?itemId=473986622275592&vendorItemId=473986622242824&sourceType=search&rank=3&searchId=d04fc18fb2fe4afd8bd33815ad8a3229&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,376",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"讀書桌書桌筆電多功能桌 角度可調, 實木",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E8%AE%80%E6%9B%B8%E6%A1%8C%E6%9B%B8%E6%A1%8C%E7%AD%86%E9%9B%BB%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%A1%8C-%E8%A7%92%E5%BA%A6%E5%8F%AF%E8%AA%BF-21005953058590?itemId=21010648733667&vendorItemId=21077929623282&sourceType=search&rank=1&searchId=f54692af7f824ef8873622c2e1f91549&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,036",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約無門書桌 書桌 電腦桌 工作桌 辦公桌 100*48*120, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%84%A1%E9%96%80%E6%9B%B8%E6%A1%8C-%E6%9B%B8%E6%A1%8C-%E9%9B%BB%E8%85%A6%E6%A1%8C-%E5%B7%A5%E4%BD%9C%E6%A1%8C-%E8%BE%A6%E5%85%AC%E6%A1%8C-100*48*120-473986622259208?itemId=473986622275592&vendorItemId=473986622242824&sourceType=search&rank=3&searchId=d04fc18fb2fe4afd8bd33815ad8a3229&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,376",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約無門書桌 書桌 電腦桌 工作桌 辦公桌 100*48*120, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%84%A1%E9%96%80%E6%9B%B8%E6%A1%8C-%E6%9B%B8%E6%A1%8C-%E9%9B%BB%E8%85%A6%E6%A1%8C-%E5%B7%A5%E4%BD%9C%E6%A1%8C-%E8%BE%A6%E5%85%AC%E6%A1%8C-100*48*120-473986622259208?itemId=473986622275592&vendorItemId=473986622242824&sourceType=search&rank=3&searchId=d04fc18fb2fe4afd8bd33815ad8a3229&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,376",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"簡約無門書桌 書桌 電腦桌 工作桌 辦公桌 100*48*120, 白色, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E7%84%A1%E9%96%80%E6%9B%B8%E6%A1%8C-%E6%9B%B8%E6%A1%8C-%E9%9B%BB%E8%85%A6%E6%A1%8C-%E5%B7%A5%E4%BD%9C%E6%A1%8C-%E8%BE%A6%E5%85%AC%E6%A1%8C-100*48*120-473986622259208?itemId=473986622275592&vendorItemId=473986622242824&sourceType=search&rank=3&searchId=d04fc18fb2fe4afd8bd33815ad8a3229&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,"$1,376",電腦桌,x,否
【慢慢家居】獨家款-精工級現代簡約鋼木電腦桌(140Cm),"讀書桌書桌筆電多功能桌 角度可調, 白色的",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電腦桌,1852,https://www.tw.coupang.com/products/%E8%AE%80%E6%9B%B8%E6%A1%8C%E6%9B%B8%E6%A1%8C%E7%AD%86%E9%9B%BB%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%A1%8C-%E8%A7%92%E5%BA%A6%E5%8F%AF%E8%AA%BF-21005955339408?itemId=21010658498087&vendorItemId=21077939330563&sourceType=search&rank=24&searchId=f614f1ca49984507bb34148914dc9b66&q=%E9%9B%BB%E8%85%A6%E6%A1%8C,$692,電腦桌,x,否
