商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"SONGEN松井 日系飛梭溫控手沖品茗咖啡壺, SG-103HB-W, 930g, 1台",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/SONGEN%E6%9D%BE%E4%BA%95-%E6%97%A5%E7%B3%BB%E9%A3%9B%E6%A2%AD%E6%BA%AB%E6%8E%A7%E6%89%8B%E6%B2%96%E5%93%81%E8%8C%97%E5%92%96%E5%95%A1%E5%A3%BA-466486241984516?itemId=466486242017285&vendorItemId=466486242033667&sourceType=search&rank=28&searchId=2266f5c098a741c388db9d2d7d4df28f&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,"$1,336",電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"304不銹鋼電茶壺 190 x 190 x 232mm 1.8L, SWB-20, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/304%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%9B%BB%E8%8C%B6%E5%A3%BA-190-x-190-x-232mm-1.8L-463112427782144?itemId=463112427765763&vendorItemId=463112427749378&sourceType=search&rank=13&searchId=aca24a7192f14ea791162091331a9946&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$956,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"MOLIJIA 魔力家 M27雙層防燙快煮壺 白木紋 1.9L, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/MOLIJIA-%E9%AD%94%E5%8A%9B%E5%AE%B6-M27%E9%9B%99%E5%B1%A4%E9%98%B2%E7%87%99%E5%BF%AB%E7%85%AE%E5%A3%BA-%E7%99%BD%E6%9C%A8%E7%B4%8B-1.9L-349705804431369?itemId=349705804382217&vendorItemId=349705804382215&sourceType=search&rank=1&searchId=5ff077d26fe34123af22e835939bbc05&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$819,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/%E9%8D%8B%E5%AF%B6-316%E4%B8%8D%E9%8A%B9%E9%8B%BC%E4%BF%9D%E6%BA%AB%E9%9B%99%E5%B1%A4%E9%98%B2%E7%87%99%E5%BF%AB%E7%85%AE%E5%A3%BA-467883192680458?itemId=467883192713227&vendorItemId=467883192729606&sourceType=search&rank=27&searchId=7c01cea6464f4c8e8f4ee6ad01500514&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$578,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"五星級不鏽鋼快煮壺 1.8L, LM-720, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/%E4%BA%94%E6%98%9F%E7%B4%9A%E4%B8%8D%E9%8F%BD%E9%8B%BC%E5%BF%AB%E7%85%AE%E5%A3%BA-1.8L-468544869318658?itemId=468544869351427&vendorItemId=468544869318657&sourceType=search&rank=12&searchId=aca24a7192f14ea791162091331a9946&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$467,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"cook power 鍋寶 316不鏽鋼雙層防燙快煮壺 藍色 1.8L, KT-92181YW&KT-92182B",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/cook-power-%E9%8D%8B%E5%AF%B6-316%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9B%99%E5%B1%A4%E9%98%B2%E7%87%99%E5%BF%AB%E7%85%AE%E5%A3%BA-%E8%97%8D%E8%89%B2-1.8L-467883196891140?itemId=467883196891141&vendorItemId=467883196923909&sourceType=search&rank=9&searchId=f07360862bf14a02b95c89611bab4cbd&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$799,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"AWSON 歐森 不鏽鋼電熱快煮壺 1.8L, AS-HP0155, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/AWSON-%E6%AD%90%E6%A3%AE-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9B%BB%E7%86%B1%E5%BF%AB%E7%85%AE%E5%A3%BA-1.8L-466744569167880?itemId=466744569167881&vendorItemId=466744569184259&sourceType=search&rank=2&searchId=5ff077d26fe34123af22e835939bbc05&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$599,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"BOMANN 智能電水壺1.5L, WK5180W",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/BOMANN-%E6%99%BA%E8%83%BD%E9%9B%BB%E6%B0%B4%E5%A3%BA1.5L-21006858866241?itemId=21016367815198&vendorItemId=21083559436131&sourceType=search&rank=26&searchId=6f34c8731e314215aff51f9fcad8fc44&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,"$1,677",電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"溫控電茶壺, DKS1315, 黑色, 1.5L, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/%E6%BA%AB%E6%8E%A7%E9%9B%BB%E8%8C%B6%E5%A3%BA-473258679844870?itemId=473258679844871&vendorItemId=473258679795714&sourceType=search&rank=6&searchId=5ff077d26fe34123af22e835939bbc05&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,"$1,693",電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"Kitchen-Art Herb Classic 不銹鋼電熱水壺 1.2L, KSJ-EPB11",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/Kitchen-Art-Herb-Classic-%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%9B%BB%E7%86%B1%E6%B0%B4%E5%A3%BA-1.2L-21006344464262?itemId=21013324230035&vendorItemId=21080580277354&sourceType=search&rank=24&searchId=4cf0cac5c9d64bf198eefeed5649ab04&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$560,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/Kinyo-%E9%9B%99%E9%9B%BB%E5%A3%93%E6%97%85%E8%A1%8C%E9%9B%BB%E6%B0%B4%E5%A3%BA-%E5%BF%AB%E7%85%AE%E5%A3%BA-%E9%99%84%E9%9B%BB%E6%BA%90%E7%B7%9A%E5%BA%95%E5%BA%A7-198-x-105-x-145mm-675g-600ml-1%E5%80%8B-450506912628738?itemId=450506912677888&vendorItemId=450506912628737&sourceType=search&rank=8&searchId=aca24a7192f14ea791162091331a9946&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$772,電茶壺,x,否
【Hario】Hario 珈琲王二代 V60電動濾滴式濾滴式手沖咖啡壺 Evcm2-5Tb/2-5人份(黑色),cook power 鍋寶 316不鏽鋼快煮壺 21 x 16 x 24cm 850g,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=電茶壺,4800,https://www.tw.coupang.com/products/cook-power-%E9%8D%8B%E5%AF%B6-316%E4%B8%8D%E9%8F%BD%E9%8B%BC%E5%BF%AB%E7%85%AE%E5%A3%BA-21-x-16-x-24cm-850g-467883205263361?itemId=467883205296131&vendorItemId=467883201118221&sourceType=search&rank=19&searchId=aca24a7192f14ea791162091331a9946&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA,$484,電茶壺,x,否
