商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"聽Jay小音樂看見大世界 聽Jay我好愛你喔, 禾流文創",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E8%81%BDJay%E5%B0%8F%E9%9F%B3%E6%A8%82%E7%9C%8B%E8%A6%8B%E5%A4%A7%E4%B8%96%E7%95%8C-%E8%81%BDJay%E6%88%91%E5%A5%BD%E6%84%9B%E4%BD%A0%E5%96%94-468603744796672?itemId=468603744747520&vendorItemId=468603740569606&sourceType=search&rank=&searchId=96dadab944694704a1fd445466551964&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$578,音樂書,x,是
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"小手按按有聲書 晚安音樂 1歲以上, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E5%B0%8F%E6%89%8B%E6%8C%89%E6%8C%89%E6%9C%89%E8%81%B2%E6%9B%B8-%E6%99%9A%E5%AE%89%E9%9F%B3%E6%A8%82-1%E6%AD%B2%E4%BB%A5%E4%B8%8A-466458958069769?itemId=466458958069770&vendorItemId=466458958053376&sourceType=search&rank=1&searchId=53b70dae55fb44c48bd26c1d0bfc7c7d&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$198,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"聽Jay小音樂看見大世界 我愛的家人 3歲以上, 1本",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E8%81%BDJay%E5%B0%8F%E9%9F%B3%E6%A8%82%E7%9C%8B%E8%A6%8B%E5%A4%A7%E4%B8%96%E7%95%8C-%E6%88%91%E6%84%9B%E7%9A%84%E5%AE%B6%E4%BA%BA-3%E6%AD%B2%E4%BB%A5%E4%B8%8A-468603727970310?itemId=468603727986696&vendorItemId=468603727970307&sourceType=search&rank=13&searchId=ab52c1da8d1c45929ecadbf19143350a&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$597,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"英語遊戲有聲書 3歲以上, 有聲書系列S012, 華碩",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E8%8B%B1%E8%AA%9E%E9%81%8A%E6%88%B2%E6%9C%89%E8%81%B2%E6%9B%B8-3%E6%AD%B2%E4%BB%A5%E4%B8%8A-468635113947145?itemId=468635113947146&vendorItemId=468635113979915&sourceType=search&rank=17&searchId=ac04ecae87994f85addc551b57e41a4b&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$439,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"禾流文創 叮叮咚咚音樂會 北極樂團 3歲以上, 1本",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E7%A6%BE%E6%B5%81%E6%96%87%E5%89%B5-%E5%8F%AE%E5%8F%AE%E5%92%9A%E5%92%9A%E9%9F%B3%E6%A8%82%E6%9C%83-%E5%8C%97%E6%A5%B5%E6%A8%82%E5%9C%98-3%E6%AD%B2%E4%BB%A5%E4%B8%8A-466753494679562?itemId=466753494646793&vendorItemId=466753494679560&sourceType=search&rank=13&searchId=129c989c684f405585b325f496e6a2e6&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$499,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"聽Jay小音樂看見大世界 我愛的家人 3歲以上, 1本",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E8%81%BDJay%E5%B0%8F%E9%9F%B3%E6%A8%82%E7%9C%8B%E8%A6%8B%E5%A4%A7%E4%B8%96%E7%95%8C-%E6%88%91%E6%84%9B%E7%9A%84%E5%AE%B6%E4%BA%BA-3%E6%AD%B2%E4%BB%A5%E4%B8%8A-468603727970310?itemId=468603727986696&vendorItemId=468603727970307&sourceType=search&rank=13&searchId=ab52c1da8d1c45929ecadbf19143350a&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$597,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"小手按按有聲書 晚安音樂 1歲以上, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E5%B0%8F%E6%89%8B%E6%8C%89%E6%8C%89%E6%9C%89%E8%81%B2%E6%9B%B8-%E6%99%9A%E5%AE%89%E9%9F%B3%E6%A8%82-1%E6%AD%B2%E4%BB%A5%E4%B8%8A-466458958069769?itemId=466458958069770&vendorItemId=466458958053376&sourceType=search&rank=1&searchId=53b70dae55fb44c48bd26c1d0bfc7c7d&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$198,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),NEW 手指點讀雙語有聲大書,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/NEW-%E6%89%8B%E6%8C%87%E9%BB%9E%E8%AE%80%E9%9B%99%E8%AA%9E%E6%9C%89%E8%81%B2%E5%A4%A7%E6%9B%B8-239621183062058?itemId=239622852411440&vendorItemId=239622852411429&sourceType=search&rank=8&searchId=ba3dd054e428486bbc7dfa4a160a2cf6&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$579,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"古典音樂有聲書 4本, 1盒",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E5%8F%A4%E5%85%B8%E9%9F%B3%E6%A8%82%E6%9C%89%E8%81%B2%E6%9B%B8-4%E6%9C%AC-466458932920336?itemId=466458932920337&vendorItemId=466458932920330&sourceType=search&rank=28&searchId=5e9d3bebccdb4c7d8a18ee9bc79343fc&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$785,音樂書,x,否
三本全套組 聽Jay小音樂看見大世界(聽Jay我好愛你喔 / 我愛我的家人 / 奇幻旅程),"風車 ㄅㄆㄇ拼音遊戲書 附掛圖 + 聲調卡 FOOD超人, 1本",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=音樂書,1734,https://www.tw.coupang.com/products/%E9%A2%A8%E8%BB%8A-%E3%84%85%E3%84%86%E3%84%87%E6%8B%BC%E9%9F%B3%E9%81%8A%E6%88%B2%E6%9B%B8-%E9%99%84%E6%8E%9B%E5%9C%96-%2B-%E8%81%B2%E8%AA%BF%E5%8D%A1-FOOD%E8%B6%85%E4%BA%BA-468962919792640?itemId=468962919825408&vendorItemId=468962915614725&sourceType=search&rank=11&searchId=53b70dae55fb44c48bd26c1d0bfc7c7d&q=%E9%9F%B3%E6%A8%82%E6%9B%B8,$220,音樂書,x,否
