搜尋詞,商品名稱A,網頁A,價格A,商品名稱B,網頁B,價格B,LLM result
﻿搜尋詞,商品名稱A,網頁A,價格A,商品名稱B,網頁B,價格B,LLM result
10t pro,"ANGELBIRD AV PRO SD MK2 V60記憶卡 CLASS10 AVP1T0SDMK2V60, 1TB",https://www.tw.coupang.com/products/ANGELBIRD-AV-PRO-SD-MK2-V60%E8%A8%98%E6%86%B6%E5%8D%A1-CLASS10-AVP1T0SDMK2V60-21007410896194?itemId=21019201393374&vendorItemId=21086318735170&sourceType=search&rank=1&searchId=c47d229a5c5d480980dd8fa05bf1d351&q=10t%20pro,10712,【Sog手機配件】Realme空壓殼(手機殼適用Gt Neo3/11/10/10T/9/8/5G/Pro/Narzo/X3/X50/X7/C35/C33),https://m.momoshop.com.tw/goods.momo?i_code=TP00004940000322&mdiv=searchEngine&oid=1_1&kw=10t pro,65,。
10t pro,"ANGELBIRD AV PRO SD MK2 V60記憶卡 CLASS10 AVP1T0SDMK2V60, 1TB",https://www.tw.coupang.com/products/ANGELBIRD-AV-PRO-SD-MK2-V60%E8%A8%98%E6%86%B6%E5%8D%A1-CLASS10-AVP1T0SDMK2V60-21007410896194?itemId=21019201393374&vendorItemId=21086318735170&sourceType=search&rank=3&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro,"$10,951",【貼膜達人】Oppo 指環支架手機殼 磁吸防摔保護殼(適用 Reno 12/ 12 F/ 11/ 11 F/ 10/ 8/ 8T/ 8Z/ 7/ 7Z/ Pro/ Pro+),https://www.momoshop.com.tw/TP/TP0001546/goodsDetail/TP00015460000709,99,。
10t pro,"ARROW 釘槍專用釘針 T50 10mm, 5000件",https://www.tw.coupang.com/products/ARROW-%E9%87%98%E6%A7%8D%E5%B0%88%E7%94%A8%E9%87%98%E9%87%9D-T50-10mm-21002170923040?itemId=21003693083967&vendorItemId=21071678399283&sourceType=search&rank=20&searchId=c47d229a5c5d480980dd8fa05bf1d351&q=10t%20pro,512,【Ninja 東京御用】Xiaomi小米 10T Pro 5G版本（6.67吋）專用高透防刮無痕螢幕保護貼,https://m.momoshop.com.tw/goods.momo?i_code=8411441&mdiv=searchEngine&oid=1_1&kw=10t pro,141,。
10t pro,"ARROW 釘槍專用釘針 T50 10mm, 5000件",https://www.tw.coupang.com/products/ARROW-%E9%87%98%E6%A7%8D%E5%B0%88%E7%94%A8%E9%87%98%E9%87%9D-T50-10mm-21002170923040?itemId=21003693083967&vendorItemId=21071678399283&sourceType=search&rank=17&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro,$580,【全透明】小米10T / 10T Pro 5G 共用 疏水疏油9H鋼化頂級晶透玻璃膜,https://m.momoshop.com.tw/goods.momo?i_code=9884373,171,。
10t pro,"DIACUBE （3張）4H T-Hybrid高硬度玻璃硬鍍膜防藍光隱私保護膜, 2張",https://www.tw.coupang.com/products/DIACUBE-%EF%BC%883%E5%BC%B5%EF%BC%894H-T-Hybrid%E9%AB%98%E7%A1%AC%E5%BA%A6%E7%8E%BB%E7%92%83%E7%A1%AC%E9%8D%8D%E8%86%9C%E9%98%B2%E8%97%8D%E5%85%89%E9%9A%B1%E7%A7%81%E4%BF%9D%E8%AD%B7%E8%86%9C-21007690208085?itemId=21008731482145&vendorItemId=21085915224575&sourceType=search&rank=4&searchId=c47d229a5c5d480980dd8fa05bf1d351&q=10t%20pro,462,【上豪貼】Realme透明防摔氣墊空壓殼(Realme Gt Neo3/11/10T/10/8/5G/Pro/Xt/X3/X50/X7),https://m.momoshop.com.tw/goods.momo?i_code=TP00026250000048&mdiv=searchEngine&oid=1_1&kw=10t pro,65,。
﻿搜尋詞,商品名稱A,網頁A,價格A,商品名稱B,網頁B,價格B,LLM result
10t pro,"ANGELBIRD AV PRO SD MK2 V60記憶卡 CLASS10 AVP1T0SDMK2V60, 1TB",https://www.tw.coupang.com/products/ANGELBIRD-AV-PRO-SD-MK2-V60%E8%A8%98%E6%86%B6%E5%8D%A1-CLASS10-AVP1T0SDMK2V60-21007410896194?itemId=21019201393374&vendorItemId=21086318735170&sourceType=search&rank=1&searchId=c47d229a5c5d480980dd8fa05bf1d351&q=10t%20pro,10712,【Sog手機配件】Realme空壓殼(手機殼適用Gt Neo3/11/10/10T/9/8/5G/Pro/Narzo/X3/X50/X7/C35/C33),https://m.momoshop.com.tw/goods.momo?i_code=TP00004940000322&mdiv=searchEngine&oid=1_1&kw=10t pro,65,。
10t pro,"ANGELBIRD AV PRO SD MK2 V60記憶卡 CLASS10 AVP1T0SDMK2V60, 1TB",https://www.tw.coupang.com/products/ANGELBIRD-AV-PRO-SD-MK2-V60%E8%A8%98%E6%86%B6%E5%8D%A1-CLASS10-AVP1T0SDMK2V60-21007410896194?itemId=21019201393374&vendorItemId=21086318735170&sourceType=search&rank=3&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro,"$10,951",【貼膜達人】Oppo 指環支架手機殼 磁吸防摔保護殼(適用 Reno 12/ 12 F/ 11/ 11 F/ 10/ 8/ 8T/ 8Z/ 7/ 7Z/ Pro/ Pro+),https://www.momoshop.com.tw/TP/TP0001546/goodsDetail/TP00015460000709,99,。
10t pro,"ARROW 釘槍專用釘針 T50 10mm, 5000件",https://www.tw.coupang.com/products/ARROW-%E9%87%98%E6%A7%8D%E5%B0%88%E7%94%A8%E9%87%98%E9%87%9D-T50-10mm-21002170923040?itemId=21003693083967&vendorItemId=21071678399283&sourceType=search&rank=20&searchId=c47d229a5c5d480980dd8fa05bf1d351&q=10t%20pro,512,【Ninja 東京御用】Xiaomi小米 10T Pro 5G版本（6.67吋）專用高透防刮無痕螢幕保護貼,https://m.momoshop.com.tw/goods.momo?i_code=8411441&mdiv=searchEngine&oid=1_1&kw=10t pro,141,否
