商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22431240107332,881,自拍棒,o,是
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,藍芽自拍桿 自拍棒 自拍桿   自拍桿三腳架360度旋轉手持遙控拍攝防抖穩定器便攜折疊,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22431240063816,460,自拍棒,x,否
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,【現貨】1.35米 自拍桿 自拍棒 藍芽自拍棒 手持自拍桿 腳架 拍照腳架 自拍架 自拍神器 自拍腳架 補光燈,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22431239729082,829,自拍棒,x,是
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,臺灣發貨自拍腳架 自拍棒 穩定器 相機 手機 三腳架 直播手機架 149cm 直播架 補光 美顔 環形補光 自拍桿 藍牙,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22447296259495,696,自拍棒,x,否
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,【現貨】藍芽自拍桿 自拍棒 手持穩定器 三腳架 拍照支架 美顔燈 補光燈 多功能自拍桿 遙控拍照 攝影支架,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22447296162746,836,自拍棒,x,否
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,藍芽自拍棒 自拍棒 自拍腳架 藍芽自拍桿  迷你自拍桿三腳架全自動多功能手機支架拍照補光燈拍照專用,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22431240085810,471,自拍棒,x,否
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,【現貨】藍芽自拍桿 自拍棒 手持穩定器 三腳架 拍照支架 美顔燈 補光燈 多功能自拍桿 遙控拍照 攝影支架,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22447296162746,836,自拍棒,x,否
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,手機穩定器 手持穩定器 手機雲臺 穩定器 雲臺 攝影穩定器 拍照穩定器 自拍棒 hohem浩瀚m6手機穩定器智能,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22431240104003,9080,自拍棒,x,否
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,藍芽自拍桿 自拍棒 手持自拍桿 遙控自拍桿 雲臺自拍桿三腳架手機穩定器防抖手持vlog拍照主播支架拍視頻,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22431240045388,880,自拍棒,x,否
自拍棒 自拍神器 腳架自拍棒 自拍棒三腳架 手機腳架 藍芽自拍棒 自拍桿 腳架 手機架 雙遙控超長自拍桿四腳架手,【PChome 24h購物】Insta360 85cm 隱形自拍棒 原廠公司貨,https://www.ruten.com.tw/item/show?22431229484012,881,https://www.ruten.com.tw/item/show?22424724727733,799,自拍棒,x,否
