商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22433346051250,315,拉鍊,o,是
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】TRAVELON 雙層拉鍊防盜長夾(黑),https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22322849590826,1835,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】【ATUNAS 歐都納】男款經典保暖拉鍊衫 (A8PS2343M炭灰/刷毛/透氣/修身),https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22443072413169,1550,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】【ATUNAS 歐都納】男款經典保暖拉鍊衫 (A8PS2343M炭灰/刷毛/透氣/修身),https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22443072413169,1550,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】【KING JIM】HITOTOKI NOTE 手帳筆記本 拉鍊款 護照尺寸 森林,https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22442007922093,1180,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】【KING JIM】HITOTOKI NOTE 手帳筆記本 拉鍊款 漫畫尺寸 小碎花,https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22442007922015,1280,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】【ATUNAS 歐都納】女款經典保暖拉鍊衫 (A8PS2345W藍/刷毛/透氣/修身),https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22443070947417,1550,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】【ATUNAS 歐都納】男款SOLAR-FLEECE保暖長袖拉鍊衫A1PS2426M棕褐,https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22442008686530,2550,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】TRAVELON 雙層拉鍊防盜長夾(藍),https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22244638168770,1835,拉鍊,x,否
手拿包 錢包女短款零錢包大容量簡約女手包2021新款正韓潮時尚拉鍊手拿包 交換禮物,【PChome 24h購物】【KING JIM】HITOTOKI NOTE 手帳筆記本 拉鍊款 護照尺寸 油彩,https://www.ruten.com.tw/item/show?22433335299544,315,https://www.ruten.com.tw/item/show?22442007640539,1180,拉鍊,x,否
