商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,保固一年藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22341850937666,563,耳機,o,是
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,【PChome 24h購物】ESR億色 AirPods 4 HaloLock磁電空間 鐵甲系列 耳機保護套,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22440856582028,399,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,【PChome 24h購物】月陽鋁合金一體TYPEC轉3.5mm通話耳機加6A快充音頻轉接器轉接線轉接頭(DTS6A),https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22447258320302,208,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,【優選國際購】藍芽眼鏡 藍芽眼鏡耳機無線藍牙眼鏡耳機超長待機聽歌通話開車導航騎行多功能眼鏡太陽鏡,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22404703609412,399,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,骨傳導耳機 藍芽耳機 山水TG8骨傳導藍牙耳機5.2不入耳無線運動帶麥克風安卓蘋果通用,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22423704411910,879,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,【PChome 24h購物】【B&W】Pi8 真無線 藍牙降噪耳機,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22438748377320,13680,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,現貨 藍芽發射器 藍芽接收器 藍芽適配器 藍牙適配器V5.0藍牙發射器音頻 藍牙耳機音響設備臺式電腦筆記本,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22431214645701,83,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,臺灣保固 新款空氣骨傳導藍牙耳機 音質超好 帶16G內存不入耳不傷耳運動耳機 超長續航 無線藍牙耳機  她說精選,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22351448636666,690,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,【官方正品】骨傳導藍牙耳機 【官方正品】骨傳導藍牙耳機不入耳高端掛耳式運動跑步適用索尼,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22412091251021,2936,耳機,x,否
【優選國際購】藍芽耳機 無線耳機 掛耳式開放式藍牙耳機低延時超長續航13到28小時華為OPPO蘋果通用,【PChome 24h購物】Turtle Beach Stealth Pro 無線電競耳機麥克風,https://www.ruten.com.tw/item/show?22404704194423,563,https://www.ruten.com.tw/item/show?22326061385806,9491,耳機,x,否
