商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 綠白,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22308060650833,275,蛙鏡,o,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】OMG 大鏡框防水防霧成人款泳鏡 高清大視野蛙鏡 游泳護目鏡(帶連體耳塞) 黑色,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22245657941399,349,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】【ATUNAS 歐都納】水上用品-蛙鏡附呼吸管組(浮潛配備/游泳/潛水組/護目鏡M01S+SN25D黃),https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22248771139095,675,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】【SAEKO】造型兒童泳鏡 兒童蛙鏡 2-6歲適用 迷你魚(藍黃) S27_BL-YE,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22334517094279,390,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22308060702370,275,蛙鏡,x,是
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】BASEE 大鏡框兒童防霧泳鏡 高清防水游泳眼鏡 大視野蛙鏡/游泳鏡/潛水鏡/運動眼鏡,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22413145396202,379,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】BASEE 大鏡框兒童防霧泳鏡 高清防水游泳眼鏡 大視野蛙鏡/游泳鏡/潛水鏡/運動眼鏡,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22413145396202,379,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】FitGuard 兒童抗UV防霧泳鏡 高清防水大鏡框泳鏡 護目鏡 游泳眼鏡 蛙鏡 潛水鏡（配拉鏈袋）,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22412090680509,299,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】YUNMI 成人高清防水防霧泳鏡 潛水鏡 大鏡框護目鏡 蛙鏡 贈同款矽膠泳帽-黑色,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22304950911039,459,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】OMG 大框防霧兒童泳鏡 蛙鏡 高清透明游泳眼鏡(帶連體耳塞),https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22324957166399,299,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】QLZHS 佑遊成人防水防霧高清泳鏡 贈矽膠泳帽 大鏡框游泳平光護目鏡 潛水鏡 蛙鏡,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22412100062886,499,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【PChome 24h購物】【SAEKO】造型兒童泳鏡 兒童蛙鏡 2-6歲適用 迷你魚(粉) S27_PK,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22334517708068,390,蛙鏡,x,否
【PChome 24h購物】OMG 兒童大鏡框游泳鏡 防水防霧游泳鏡 高清大鏡面蛙鏡 護目鏡 潛水鏡(游泳用品) 粉紅,【透視大鏡面】兒童防霧泳鏡 兒童泳鏡 兒童蛙鏡 防霧泳鏡 泳鏡 蛙鏡 浮潛面罩 防水泳鏡 近視 小孩泳鏡｜HNFD62,https://www.ruten.com.tw/item/show?22308060702370,275,https://www.ruten.com.tw/item/show?22328185621088,119,蛙鏡,x,否
