商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22248768474857,990,螢幕,o,是
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,電磁爐 家用廚房大功率觸控螢幕節能灶2000w特價按鍵電磁爐,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22443073700675,476,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,電磁爐 家用廚房大功率觸控螢幕節能灶2000w特價按鍵電磁爐,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22443073700675,476,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,顯示器掛燈 螢幕燈 筆電掛燈 筆記型電腦燈 螢幕掛燈 護眼燈 螢幕護眼燈 屏幕燈 顯示器夾燈 螢幕夾燈 歲藝觸摸,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22431240102078,962,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,適用努比亞3D Pad平板鋼化膜nubia努比亞紅魔電競平板電腦螢幕保護膜NP01J貼膜平板高清防爆防指紋,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22431239926799,780,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,【可折疊筆電增高架】電腦架 螢幕架 置物架 筆電 螢幕增高架 戶外筆電增高架 顯示器支架 顯示器抬高底座,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22443072219286,767,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,【可折疊筆電增高架】電腦架 螢幕架 置物架 筆電 螢幕增高架 戶外筆電增高架 顯示器支架 顯示器抬高底座,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22443072219286,767,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,顯示器掛燈 螢幕燈 螢幕掛燈 筆電掛燈 REMAX睿量屏幕掛燈電腦顯示器屏幕燈led護眼燈筆記本電子書燈掛屏,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22431240055132,872,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,【免運】萬勝 手機螢幕智能貼膜神器適用於蘋果安卓鋼化膜防窺膜輔助貼膜夾具,https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22431240039707,378,螢幕,x,否
【PChome 24h購物】j5create 北歐簡約風格 天然實木 鍵盤收納 螢幕增高架 筆電支架 鋁合金腳座 – JCT125,【PChome 24h購物】MacBook Pro Retina 15吋Touch bar高透高硬度5H螢幕保護貼(A1707),https://www.ruten.com.tw/item/show?22247758608089,1290,https://www.ruten.com.tw/item/show?22235209384684,343,螢幕,x,否
