商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"WD 威騰 SN850X 1TB Gen4 NVMe PCIe SSD固態硬碟 S100T2X0E, BLACK 黑標, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/WD-%E5%A8%81%E9%A8%B0-SN850X-1TB-Gen4-NVMe-PCIe-SSD%E5%9B%BA%E6%85%8B%E7%A1%AC%E7%A2%9F-S100T2X0E-471187964542977?itemId=471187964526594&vendorItemId=471187964526593&sourceType=search&rank=1&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$2,682",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"WD 威騰 SN850X 1TB Gen4 NVMe PCIe SSD固態硬碟 S100T2X0E, BLACK 黑標, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/WD-%E5%A8%81%E9%A8%B0-SN850X-1TB-Gen4-NVMe-PCIe-SSD%E5%9B%BA%E6%85%8B%E7%A1%AC%E7%A2%9F-S100T2X0E-471187964542977?itemId=471187964526594&vendorItemId=471187964526593&sourceType=search&rank=1&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$2,682",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"OWC Envoy Pro Mini USB 3.2 Gen2外接SSD USB隨身碟 OWCENVPMACA1T0, 1TB, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/OWC-Envoy-Pro-Mini-USB-3.2-Gen2%E5%A4%96%E6%8E%A5SSD-USB%E9%9A%A8%E8%BA%AB%E7%A2%9F-OWCENVPMACA1T0-21007456492766?itemId=21019424900515&vendorItemId=21086536275157&sourceType=search&rank=5&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$5,264",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"WD 威騰 SN850X 1TB Gen4 NVMe PCIe SSD固態硬碟 S100T2X0E, BLACK 黑標, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/WD-%E5%A8%81%E9%A8%B0-SN850X-1TB-Gen4-NVMe-PCIe-SSD%E5%9B%BA%E6%85%8B%E7%A1%AC%E7%A2%9F-S100T2X0E-471187964542977?itemId=471187964526594&vendorItemId=471187964526593&sourceType=search&rank=1&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$2,682",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"OWC Envoy Pro Mini USB 3.2 Gen2外接SSD USB隨身碟 OWCENVPMACA1T0, 1TB, 混色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/OWC-Envoy-Pro-Mini-USB-3.2-Gen2%E5%A4%96%E6%8E%A5SSD-USB%E9%9A%A8%E8%BA%AB%E7%A2%9F-OWCENVPMACA1T0-21007456492766?itemId=21019424900515&vendorItemId=21086536275157&sourceType=search&rank=5&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$5,264",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"Western Digital Wd-40 RED Plus 3.5 硬盤, WD40EFRX, 4TB",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/Western-Digital-Wd-40-RED-Plus-3.5-%E7%A1%AC%E7%9B%A4-21004366008545?itemId=21005140967923&vendorItemId=21072450345025&sourceType=search&rank=4&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$3,489",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"Western Digital Wd-40 RED Plus 3.5 硬盤, WD40EFRX, 4TB",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/Western-Digital-Wd-40-RED-Plus-3.5-%E7%A1%AC%E7%9B%A4-21004366008545?itemId=21005140967923&vendorItemId=21072450345025&sourceType=search&rank=4&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$3,489",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"Western Digital Wd-40 RED Plus 3.5 硬盤, WD40EFRX, 4TB",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/Western-Digital-Wd-40-RED-Plus-3.5-%E7%A1%AC%E7%9B%A4-21004366008545?itemId=21005140967923&vendorItemId=21072450345025&sourceType=search&rank=4&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$3,489",wds500g2b0b,x
【Wd 威騰】Wd Blue 藍標 Sa510 500G Sata Ssd固態硬碟 5年保(Wds500G3B0A),"ADATA 威剛 PCIe3.0 M.2 2280 SSD固態硬碟, LEGEND 710, 256GB",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1290,https://www.tw.coupang.com/products/ADATA-%E5%A8%81%E5%89%9B-PCIe3.0-M.2-2280-SSD%E5%9B%BA%E6%85%8B%E7%A1%AC%E7%A2%9F-470386940542977?itemId=470386940510209&vendorItemId=470386936348677&sourceType=search&rank=&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,$739,wds500g2b0b,x
【Wd 威騰】Wd Blue藍標 Sn580 500G Gen4 Nvme Pcie Ssd固態硬碟(Wds500G3B0E),"WD 威騰 SN850X 1TB Gen4 NVMe PCIe SSD固態硬碟 S100T2X0E, BLACK 黑標, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=wds500g2b0b,1190,https://www.tw.coupang.com/products/WD-%E5%A8%81%E9%A8%B0-SN850X-1TB-Gen4-NVMe-PCIe-SSD%E5%9B%BA%E6%85%8B%E7%A1%AC%E7%A2%9F-S100T2X0E-471187964542977?itemId=471187964526594&vendorItemId=471187964526593&sourceType=search&rank=1&searchId=efaee9080d5e411ba1dfd2d5305a0c67&q=wds500g2b0b,"$2,682",wds500g2b0b,x
