商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result,Desc A,Desc B,decide
【第一石鹼】馬桶清潔劑 500Ml*6入,"第一石鹼 馬桶清潔劑, 500ml, 4瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=331989366308864&vendorItemId=331989366292480&sourceType=search&rank=&searchId=d05854a1276740bcbeb46962416b4f8a&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$113,第一石鹼 馬桶清潔劑 500mlx2入,x,数,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，该商品是由第一石碱品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“第一石碱 马桶清洁剂, 500ml, 4瓶”。以下是对该商品名称中关键词的详细解析：

1. **第一石碱**：这是品牌名称，可能是一个专注于清洁产品的品牌。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。这个容量适合家庭使用，通常可以满足多次清洁的需求。

4. **4瓶**：这是商品的数量，表示该商品的包装中包含4瓶马桶清洁剂。这种数量适合家庭或小型商业使用，能够提供较长时间的清洁供应。

总结：该商品是“第一石碱”品牌的马桶清洁剂，容量为500毫升，包装中包含4瓶，适合家庭或小型商业使用。",数
【第一石鹼】馬桶清潔劑 500Ml*6入,"Kao 花王 Magiclean 魔術靈 馬桶殺菌瞬潔清潔劑 檸檬香, 500ml, 5瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%A6%AC%E6%A1%B6%E6%AE%BA%E8%8F%8C%E7%9E%AC%E6%BD%94%E6%B8%85%E6%BD%94%E5%8A%91-%E6%AA%B8%E6%AA%AC%E9%A6%99-258390416670728?itemId=260202590863412&vendorItemId=260201701687327&sourceType=search&rank=19&searchId=9ddbc7c3084845699e99f05fa78c8823&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$260,第一石鹼 馬桶清潔劑 500mlx2入,x,否,"商品名称：【第一石碱】马桶清洁剂 500Ml*6入

关键词解析：
1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。
2. **马桶清洁剂**：这是商品的类型，指用于清洁马桶的化学清洁产品。
3. **500Ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。
4. **6入**：表示该商品的包装数量，即包含6瓶马桶清洁剂。

总结：该商品是由“第一石碱”品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“Kao 花王 Magiclean 魔术灵 马桶杀菌瞬洁清洁剂 柠檬香, 500ml, 5瓶”。以下是对该商品名称中关键词的详细解析：

1. **Kao 花王**：这是品牌名称，Kao（花王）是一家知名的日本日用消费品公司，生产各种清洁和个人护理产品。

2. **Magiclean 魔术灵**：这是该品牌下的一个系列名称，通常用于清洁产品，强调其高效清洁能力。

3. **马桶杀菌瞬洁清洁剂**：这是商品的具体类型，说明该产品是专门用于马桶的清洁剂，具有杀菌和快速清洁的功能。

4. **柠檬香**：这是产品的香味，表示该清洁剂具有柠檬的香气，通常用于提升使用体验。

5. **500ml**：这是产品的容量，表示每瓶清洁剂的容量为500毫升。

6. **5瓶**：这是数量，表示该商品的包装中包含5瓶清洁剂。

综上所述，该商品是一款由Kao（花王）生产的Magiclean（魔术灵）品牌的马桶杀菌瞬洁清洁剂，具有柠檬香味，容量为500毫升，包装中包含5瓶。",否
【第一石鹼】馬桶清潔劑 500Ml*6入,"Frohdachs One Q 多功能泡沫清潔劑 水管馬桶清潔劑, 1個, 1kg",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/Frohdachs-One-Q-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B3%A1%E6%B2%AB%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B0%B4%E7%AE%A1%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-21007972061751?itemId=21022085436885&vendorItemId=21089132480180&sourceType=search&rank=20&searchId=c52767065e0d4f29a23da755f57c366c&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$281,第一石鹼 馬桶清潔劑 500mlx2入,x,否,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，该商品是由第一石碱品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称：Frohdachs One Q 多功能泡沫清洁剂 水管马桶清洁剂, 1个, 1kg

关键词及解释：
1. **Frohdachs**：品牌名称，可能是专注于清洁产品的制造商。
2. **One Q**：产品系列或型号，可能表示该产品的特定功能或特点。
3. **多功能**：说明该清洁剂可以用于多种用途，不仅限于马桶清洁，可能适用于其他表面或设备。
4. **泡沫清洁剂**：指该产品以泡沫形式存在，通常泡沫清洁剂能够更好地附着在表面，提高清洁效果。
5. **水管马桶清洁剂**：说明该清洁剂专门设计用于清洁水管和马桶，强调其针对性。
6. **1个**：表示该商品的包装数量，说明购买时会得到一个单位的产品。
7. **1kg**：表示该产品的容量或重量，说明该清洁剂的总量为1千克。

总结：该商品是Frohdachs品牌的One Q系列多功能泡沫清洁剂，专门用于水管和马桶清洁，包装为1个，重量为1千克。",否
【第一石鹼】馬桶清潔劑 500Ml*6入,"Kao 花王 Magiclean 魔術靈 馬桶清潔劑 噴槍瓶裝 強力消臭清潔 高密著泡泡 草本消臭, 500ml, 3瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E5%99%B4%E6%A7%8D%E7%93%B6%E8%A3%9D-%E5%BC%B7%E5%8A%9B%E6%B6%88%E8%87%AD%E6%B8%85%E6%BD%94-%E9%AB%98%E5%AF%86%E8%91%97%E6%B3%A1%E6%B3%A1-%E8%8D%89%E6%9C%AC%E6%B6%88%E8%87%AD-263512202919940?itemId=272591977660417&vendorItemId=272593026269188&sourceType=search&rank=16&searchId=e2d74b6bb4ce4917b785e0e94ff9d069&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$230,第一石鹼 馬桶清潔劑 500mlx2入,x,否,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指用于清洁马桶的化学清洁产品，通常具有去污、消毒和除臭的功能。

3. **500Ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，该商品是由第一石碱品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“Kao 花王 Magiclean 魔术灵 马桶清洁剂 喷枪瓶装 强力消臭清洁 高密著泡泡 草本消臭, 500ml, 3瓶”。以下是对该商品的关键词及其解释：

1. **Kao（花王）**：这是一个知名的日本品牌，专注于个人护理、家庭清洁和美容产品。

2. **Magiclean（魔术灵）**：这是花王旗下的一个产品系列，主要提供清洁剂和消臭剂，旨在高效清洁和去除异味。

3. **马桶清洁剂**：指专门用于清洁马桶的清洁产品，通常具有强力去污和消臭的功能。

4. **喷枪瓶装**：表示该清洁剂的包装形式为喷雾瓶，方便使用和喷洒。

5. **强力消臭清洁**：说明该产品具有强效的消臭和清洁能力，能够有效去除异味和污垢。

6. **高密著泡泡**：指该清洁剂在使用时会产生高密度的泡沫，能够更好地附着在污垢上，提高清洁效果。

7. **草本消臭**：表示该产品可能含有草本成分，具有天然的消臭效果，通常更为温和。

8. **500ml**：这是产品的容量，表示瓶内液体的体积为500毫升。

9. **3瓶**：表示该商品的数量为3瓶，通常是以套装形式出售。

综上所述，该商品是一款由花王品牌生产的马桶清洁剂，采用喷雾瓶装，具有强力消臭和清洁效果，容量为500毫升，数量为3瓶。",否
【第一石鹼】馬桶清潔劑 500Ml*6入,"第一石鹼 馬桶清潔劑, 500ml, 4瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=331989366308864&vendorItemId=331989366292480&sourceType=search&rank=&searchId=d05854a1276740bcbeb46962416b4f8a&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$113,第一石鹼 馬桶清潔劑 500mlx2入,x,数,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500Ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，该商品是由第一石碱品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“第一石碱 马桶清洁剂, 500ml, 4瓶”。以下是对该商品名称中关键词的详细解析：

1. **第一石碱**：这是品牌名称，可能是一个专注于清洁产品的品牌。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500ml**：这是商品的容量，表示每瓶马桶清洁剂的液体容量为500毫升。这个容量适合家庭使用，通常可以满足多次清洁的需求。

4. **4瓶**：这是商品的数量，表示该商品的包装中包含4瓶马桶清洁剂。这种数量适合家庭或小型商业使用，能够提供较长时间的清洁供应。

总结：该商品是“第一石碱”品牌的马桶清洁剂，容量为500毫升，包装中包含4瓶，适合家庭或小型商业使用。",数
【第一石鹼】馬桶清潔劑 500Ml*6入,"第一石鹼 馬桶清潔劑, 日本版, 500ml, 48瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-154041044680706?itemId=425897190473740&vendorItemId=425897190457353&sourceType=search&rank=6&searchId=d05854a1276740bcbeb46962416b4f8a&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,"$1,357",第一石鹼 馬桶清潔劑 500mlx2入,x,否,"商品名称：【第一石碱】马桶清洁剂 500Ml*6入

关键词解析：
1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。
2. **马桶清洁剂**：这是商品的类型，指用于清洁马桶的化学清洁产品。
3. **500Ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。
4. **6入**：表示该商品的包装数量，即包含6瓶马桶清洁剂。

总结：该商品是由“第一石碱”品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“第一石碱 马桶清洁剂, 日本版, 500ml, 48瓶”。以下是对该商品名称中关键词的详细解析：

1. **第一石碱**：这是品牌名称，可能是一个专注于清洁产品的品牌，特别是马桶清洁剂。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常具有去污、消毒和除臭的功能。

3. **日本版**：这表明该产品是日本制造或设计的版本，可能意味着其配方或效果与其他地区的版本有所不同，通常日本产品以高品质著称。

4. **500ml**：这是产品的容量，表示每瓶马桶清洁剂的体积为500毫升，适合家庭或小型商业使用。

5. **48瓶**：这是数量，表示该商品的总数量为48瓶，通常用于批发或大宗采购。

综上所述，该商品是一种来自“第一石碱”品牌的日本版马桶清洁剂，容量为500毫升，数量为48瓶，适合需要大量清洁剂的用户。",否
【第一石鹼】馬桶清潔劑 500Ml*6入,"第一石鹼 馬桶清潔劑, 500ml, 8瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=344669607133185&vendorItemId=344669602955265&sourceType=search&rank=8&searchId=d05854a1276740bcbeb46962416b4f8a&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$226,第一石鹼 馬桶清潔劑 500mlx2入,x,数,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，该商品是由第一石碱品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“第一石碱 马桶清洁剂, 500ml, 8瓶”。以下是对该商品名称中关键词的详细解析：

1. **第一石碱**：这是品牌名称，可能是该马桶清洁剂的制造商或品牌商。品牌通常代表产品的质量和信誉。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品。马桶清洁剂通常具有去污、消毒和除臭的功能。

3. **500ml**：这是产品的容量，表示每瓶马桶清洁剂的体积为500毫升。容量是消费者在购买时考虑的重要因素，因为它影响使用的频率和持续时间。

4. **8瓶**：这是商品的数量，表示该商品的包装中包含8瓶马桶清洁剂。数量信息对于批量购买或家庭使用非常重要，能够帮助消费者评估性价比。

总结：该商品是“第一石碱”品牌的马桶清洁剂，容量为500毫升，包装中包含8瓶。",数
【第一石鹼】馬桶清潔劑 500Ml*6入,"小林製藥 馬桶除臭凝膠條裝 補充 23RN Super柑橘 28g 3入, 1組",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/%E5%B0%8F%E6%9E%97%E8%A3%BD%E8%97%A5-%E9%A6%AC%E6%A1%B6%E9%99%A4%E8%87%AD%E5%87%9D%E8%86%A0%E6%A2%9D%E8%A3%9D-%E8%A3%9C%E5%85%85-23RN-Super%E6%9F%91%E6%A9%98-28g-3%E5%85%A5-466436279451648?itemId=466436279468032&vendorItemId=466436275273744&sourceType=search&rank=11&searchId=484a016321ef4e25a521c152d7e82dc5&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$119,第一石鹼 馬桶清潔劑 500mlx2入,x,否,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常具有去污、消毒和除臭的功能。

3. **500Ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，该商品是由第一石碱品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“小林制药 马桶除臭凝胶条装 补充 23RN Super柑橘 28g 3入, 1组”。以下是对该商品名称中关键词的详细解析：

1. **小林制药**：这是品牌名称，指的是生产该商品的公司，专注于个人护理和家庭清洁产品。

2. **马桶除臭凝胶**：这是商品的类型，表明该产品是用于马桶的除臭产品，采用凝胶形式。

3. **条装**：指的是产品的包装形式，说明该凝胶是以条状形式提供，便于使用。

4. **补充**：表示该产品是补充装，通常是用于替换或补充已有的产品，而不是完整的套装。

5. **23RN Super**：这是产品的特定系列或型号，可能指的是该产品的特定配方或特性。

6. **柑橘**：这是产品的香味，表明该凝胶具有柑橘类的香气，通常给人清新、愉悦的感觉。

7. **28g**：这是产品的容量，表示每个条装的凝胶重量为28克。

8. **3入**：表示每个包装中包含3个条装的凝胶。

9. **1组**：表示这是一个完整的销售单位，通常指的是一个包装或一组产品。

综上所述，该商品是小林制药品牌的一款马桶除臭凝胶，采用条装形式，具有柑橘香味，容量为28克，每组包含3个条装，属于补充装。",否
【第一石鹼】馬桶清潔劑 500Ml*6入,"第一石鹼 馬桶清潔劑, 500ml, 4瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=331989366308864&vendorItemId=331989366292480&sourceType=search&rank=&searchId=d05854a1276740bcbeb46962416b4f8a&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$113,第一石鹼 馬桶清潔劑 500mlx2入,x,数,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500Ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升（ml）。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，该商品是由“第一石碱”品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“第一石碱 马桶清洁剂, 500ml, 4瓶”。以下是对该商品名称中关键词的详细解析：

1. **第一石碱**：这是品牌名称，可能是一个专注于清洁产品的品牌。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。这个容量适合家庭使用，通常可以满足多次清洁的需求。

4. **4瓶**：这是商品的数量，表示该商品的包装中包含4瓶马桶清洁剂。这种数量适合家庭或小型商业使用，能够提供较长时间的清洁供应。

总结：该商品是“第一石碱”品牌的马桶清洁剂，容量为500毫升，包装中包含4瓶，适合家庭或小型商业使用。",数
【第一石鹼】馬桶清潔劑 500Ml*6入,"Kao 花王 Magiclean 魔術靈 高密泡馬桶清潔劑 柑橘消臭 噴槍式, 500ml, 5瓶",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=第一石鹼 馬桶清潔劑 500mlx2入,249,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%AB%98%E5%AF%86%E6%B3%A1%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E6%9F%91%E6%A9%98%E6%B6%88%E8%87%AD-%E5%99%B4%E6%A7%8D%E5%BC%8F-263513108873220?itemId=382056009777155&vendorItemId=382056009760768&sourceType=search&rank=16&searchId=9ddbc7c3084845699e99f05fa78c8823&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5,$350,第一石鹼 馬桶清潔劑 500mlx2入,x,否,"商品名称中的关键词及其解释如下：

1. **第一石碱**：这是品牌名称，表示该马桶清洁剂的生产厂家或品牌。

2. **马桶清洁剂**：这是商品的类型，指的是用于清洁马桶的化学清洁产品，通常用于去除污垢、污渍和异味。

3. **500Ml**：这是商品的容量，表示每瓶马桶清洁剂的容量为500毫升。

4. **6入**：这是数量，表示该商品的包装中包含6瓶马桶清洁剂。

综上所述，这个商品是由第一石碱品牌生产的马桶清洁剂，每瓶容量为500毫升，包装中包含6瓶。","商品名称为“Kao 花王 Magiclean 魔术灵 高密泡马桶清洁剂 柑橘消臭 喷枪式, 500ml, 5瓶”。以下是对该商品的关键词及其解释：

1. **Kao（花王）**：这是一个知名的日本品牌，专注于个人护理、家庭清洁和美容产品。

2. **Magiclean（魔术灵）**：这是花王旗下的一个清洁产品系列，专注于家庭清洁，提供多种清洁剂。

3. **高密泡**：指的是该清洁剂具有高密度的泡沫，能够更有效地清洁污垢和污渍。

4. **马桶清洁剂**：这是该产品的主要用途，专门设计用于清洁马桶，去除污垢和异味。

5. **柑橘消臭**：说明该产品具有柑橘类的香味，并且具有消臭的功能，能够去除异味。

6. **喷枪式**：指的是该产品的包装设计为喷雾式，方便使用者喷洒清洁剂。

7. **500ml**：这是产品的容量，表示该清洁剂的液体量为500毫升。

8. **5瓶**：表示该商品的销售数量为5瓶，通常是以套装形式出售。

综上所述，该商品是一款由花王生产的高密泡马桶清洁剂，具有柑橘香味和消臭功能，采用喷雾式设计，容量为500毫升，销售数量为5瓶。",否
