商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR 女士 UA Charged Intake 4 跑鞋 3022601-003,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-%E5%A5%B3%E5%A3%AB-UA-Charged-Intake-4-%E8%B7%91%E9%9E%8B-3022601-003-21006370806720?itemId=21013493243923&vendorItemId=21080747412612&sourceType=search&rank=8&searchId=409cc70c51a0474cb21ed7a78d1a48f6&q=under%20armour,"$1,744",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR 女士 UA Charged Intake 4 跑鞋 3022601-003,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-%E5%A5%B3%E5%A3%AB-UA-Charged-Intake-4-%E8%B7%91%E9%9E%8B-3022601-003-21006370806720?itemId=21013493243923&vendorItemId=21080747412612&sourceType=search&rank=8&searchId=409cc70c51a0474cb21ed7a78d1a48f6&q=under%20armour,"$1,744",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR 女士 UA Charged Intake 4 跑鞋 3022601-003,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-%E5%A5%B3%E5%A3%AB-UA-Charged-Intake-4-%E8%B7%91%E9%9E%8B-3022601-003-21006370806720?itemId=21013493243923&vendorItemId=21080747412612&sourceType=search&rank=8&searchId=409cc70c51a0474cb21ed7a78d1a48f6&q=under%20armour,"$1,744",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR 女士 UA Charged Intake 4 跑鞋 3022601-003,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-%E5%A5%B3%E5%A3%AB-UA-Charged-Intake-4-%E8%B7%91%E9%9E%8B-3022601-003-21006370806720?itemId=21013493243923&vendorItemId=21080747412612&sourceType=search&rank=8&searchId=409cc70c51a0474cb21ed7a78d1a48f6&q=under%20armour,"$1,744",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR UA FORGE 96 SPRT 運動鞋 77-3022018-601,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-UA-FORGE-96-SPRT-%E9%81%8B%E5%8B%95%E9%9E%8B-77-3022018-601-21006215185482?itemId=21012408890566&vendorItemId=21079678357119&sourceType=search&rank=16&searchId=2e45169b3b6f4c6684290577bd88d713&q=under%20armour,"$3,598",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR UA FORGE 96 CLRSHFT 運動鞋 77-3022281-100,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-UA-FORGE-96-CLRSHFT-%E9%81%8B%E5%8B%95%E9%9E%8B-77-3022281-100-21006215185432?itemId=21012408890070&vendorItemId=21079678356813&sourceType=search&rank=29&searchId=fcebd89500534a74b5df12904508ea3c&q=under%20armour,"$3,174",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR 女士 HOVR Machina 跑鞋 3021956-403,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-%E5%A5%B3%E5%A3%AB-HOVR-Machina-%E8%B7%91%E9%9E%8B-3021956-403-21006370613823?itemId=21013492004606&vendorItemId=21080746177537&sourceType=search&rank=18&searchId=72e81ec7f658426985ba267f0fa4f294&q=under%20armour,"$1,940",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR 女士 UA Charged Intake 4 跑鞋 3022601-003,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-%E5%A5%B3%E5%A3%AB-UA-Charged-Intake-4-%E8%B7%91%E9%9E%8B-3022601-003-21006370806720?itemId=21013493243923&vendorItemId=21080747412612&sourceType=search&rank=8&searchId=409cc70c51a0474cb21ed7a78d1a48f6&q=under%20armour,"$1,744",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),UNDER ARMOUR 女士 UA Charged Intake 4 跑鞋 3022601-003,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/UNDER-ARMOUR-%E5%A5%B3%E5%A3%AB-UA-Charged-Intake-4-%E8%B7%91%E9%9E%8B-3022601-003-21006370806720?itemId=21013493243923&vendorItemId=21080747412612&sourceType=search&rank=8&searchId=409cc70c51a0474cb21ed7a78d1a48f6&q=under%20armour,"$1,744",under armour,x
【Under Armour】Ua 運動鞋 慢跑鞋 休閒鞋 Charged Surge 4(3027000-001&3027000-002),Under Armour 安德瑪 女款 UA Storm Run 保暖混合外套 1355812-469,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=under armour,1390,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E5%A5%B3%E6%AC%BE-UA-Storm-Run-%E4%BF%9D%E6%9A%96%E6%B7%B7%E5%90%88%E5%A4%96%E5%A5%97-1355812-469-21008129066339?itemId=21023082377851&vendorItemId=21090115878038&sourceType=search&rank=&searchId=6219aecbc39e4427bc7a028f29f63786&q=under%20armour,"$1,692",under armour,x
