商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 2024 Expert Center D7桌上型電腦 Core i5 Intel 13代, 256GB, WIN11 Pro, 8GB, D700SE-513400076X, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-2024-Expert-Center-D7%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Core-i5-Intel-13%E4%BB%A3-21007883242304?itemId=21021564361461&vendorItemId=21088616480410&sourceType=search&rank=&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$21,216",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 2024 專家中心 N 系列, 4GB, PN42-SN096AU",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-2024-%E5%B0%88%E5%AE%B6%E4%B8%AD%E5%BF%83-N-%E7%B3%BB%E5%88%97-21007813827138?itemId=21021203172219&vendorItemId=21090882182136&sourceType=search&rank=1&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$10,315",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 顯示卡, GT730-SL-2GD5-BRK-E",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-%E9%A1%AF%E7%A4%BA%E5%8D%A1-468654940471296?itemId=468654940422145&vendorItemId=468654936227856&sourceType=search&rank=21&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$2,609",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 2024 專家中心 N 系列, 4GB, PN42-SN096AU",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-2024-%E5%B0%88%E5%AE%B6%E4%B8%AD%E5%BF%83-N-%E7%B3%BB%E5%88%97-21007813827138?itemId=21021203172219&vendorItemId=21090882182136&sourceType=search&rank=1&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$10,315",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 顯卡, TUF GTX1650 4GD6 GAMING, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-%E9%A1%AF%E5%8D%A1-474039185244160?itemId=474039185260544&vendorItemId=474039181049868&sourceType=search&rank=1&searchId=1cd96b091e4644c19f730c46f7da82c5&q=asus%E9%9B%BB%E8%85%A6,"$5,586",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 2024 Expert Center D7桌上型電腦 Core i5 Intel 13代, 256GB, WIN11 Pro, 8GB, D700SE-513400076X, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-2024-Expert-Center-D7%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Core-i5-Intel-13%E4%BB%A3-21007883242304?itemId=21021564361461&vendorItemId=21088616480410&sourceType=search&rank=&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$21,216",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 2024 Expert Center D7桌上型電腦 Core i5 Intel 13代, 256GB, WIN11 Pro, 8GB, D700SE-513400076X, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-2024-Expert-Center-D7%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Core-i5-Intel-13%E4%BB%A3-21007883242304?itemId=21021564361461&vendorItemId=21088616480410&sourceType=search&rank=&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$21,216",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 顯卡, TUF GTX1650 4GD6 GAMING, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-%E9%A1%AF%E5%8D%A1-474039185244160?itemId=474039185260544&vendorItemId=474039181049868&sourceType=search&rank=1&searchId=1cd96b091e4644c19f730c46f7da82c5&q=asus%E9%9B%BB%E8%85%A6,"$5,586",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 2024 Expert Center D7桌上型電腦 Core i5 Intel 13代, 256GB, WIN11 Pro, 8GB, D700SE-513400076X, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-2024-Expert-Center-D7%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Core-i5-Intel-13%E4%BB%A3-21007883242304?itemId=21021564361461&vendorItemId=21088616480410&sourceType=search&rank=&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$21,216",asus電腦,x
【華碩平台】Intel 12代 Celeron{日田}賽揚 雙核心 文書電腦主機(G 6900/H610/8G/500G),"ASUS 華碩 2024 Expert Center D7桌上型電腦 Core i5 Intel 13代, 256GB, WIN11 Pro, 8GB, D700SE-513400076X, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=asus電腦,6644,https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-2024-Expert-Center-D7%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Core-i5-Intel-13%E4%BB%A3-21007883242304?itemId=21021564361461&vendorItemId=21088616480410&sourceType=search&rank=&searchId=9c58d9e43f6b45709931f7626665a373&q=asus%E9%9B%BB%E8%85%A6,"$21,216",asus電腦,x
