商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label
粗泡棉/海棉,特長高科技泡棉 42 x 10 x 2.8cm,https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/%E7%89%B9%E9%95%B7%E9%AB%98%E7%A7%91%E6%8A%80%E6%B3%A1%E6%A3%89-42-x-10-x-2.8cm-471908663361542?itemId=471908663394307&vendorItemId=471908663394305&sourceType=search&rank=&searchId=a2234605d8b4485ba1c02724320b285f&q=%E6%B3%A1%E6%A3%89,$112,泡棉,x
粗泡棉/海棉,"3M Scotch 小型室外隔音防撞棉 #8801, 2個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/3M-Scotch-%E5%B0%8F%E5%9E%8B%E5%AE%A4%E5%A4%96%E9%9A%94%E9%9F%B3%E9%98%B2%E6%92%9E%E6%A3%89-%238801-283839867895808?itemId=283840832569349&vendorItemId=283838806704132&sourceType=search&rank=26&searchId=d9670c8591ef49b68ee05f628ca7dd55&q=%E6%B3%A1%E6%A3%89,$198,泡棉,x
粗泡棉/海棉,"隔音泡棉 50*50*5cm, 8個, 黑色",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/%E9%9A%94%E9%9F%B3%E6%B3%A1%E6%A3%89-50*50*5cm-21001439097508?itemId=21002482607080&vendorItemId=21070475935337&sourceType=search&rank=20&searchId=d9670c8591ef49b68ee05f628ca7dd55&q=%E6%B3%A1%E6%A3%89,$620,泡棉,x
粗泡棉/海棉,"GNHom 四季防風防霧貼式隔熱壁紙 保溫泡棉貼, RCS-02 甜軟灰",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/GNHom-%E5%9B%9B%E5%AD%A3%E9%98%B2%E9%A2%A8%E9%98%B2%E9%9C%A7%E8%B2%BC%E5%BC%8F%E9%9A%94%E7%86%B1%E5%A3%81%E7%B4%99-%E4%BF%9D%E6%BA%AB%E6%B3%A1%E6%A3%89%E8%B2%BC-21007505920910?itemId=21019657205735&vendorItemId=21086763064082&sourceType=search&rank=3&searchId=ba93958bb81042ff97ca909684134ac2&q=%E6%B3%A1%E6%A3%89,$324,泡棉,x
粗泡棉/海棉,"aguard W型泡棉防撞條, Brown, 3入",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/aguard-W%E5%9E%8B%E6%B3%A1%E6%A3%89%E9%98%B2%E6%92%9E%E6%A2%9D-21000063422116?itemId=21000536084413&vendorItemId=21004399163480&sourceType=search&rank=15&searchId=d0e8759044404a51b7725a324a643a67&q=%E6%B3%A1%E6%A3%89,$364,泡棉,x
粗泡棉/海棉,"3M Scotch 3M 強力泡棉雙面膠帶 24mm x 1.5m WD215, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/3M-Scotch-3M-%E5%BC%B7%E5%8A%9B%E6%B3%A1%E6%A3%89%E9%9B%99%E9%9D%A2%E8%86%A0%E5%B8%B6-24mm-x-1.5m-WD215-21002175918448?itemId=21003702645934&vendorItemId=21090186354400&sourceType=search&rank=4&searchId=9557e4e35eca4931ab0f1acf52517805&q=%E6%B3%A1%E6%A3%89,$124,泡棉,x
粗泡棉/海棉,"YODA 優的寶貝 DIY 泡棉防撞條加厚款, 粉綠, 1個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/YODA-%E5%84%AA%E7%9A%84%E5%AF%B6%E8%B2%9D-DIY-%E6%B3%A1%E6%A3%89%E9%98%B2%E6%92%9E%E6%A2%9D%E5%8A%A0%E5%8E%9A%E6%AC%BE-245344600309766?itemId=245345413988363&vendorItemId=245345413988359&sourceType=search&rank=19&searchId=a9f81e3d515c4cb4bac35c58e01a068e&q=%E6%B3%A1%E6%A3%89,$167,泡棉,x
粗泡棉/海棉,"GNHom 四季防風防霧貼式隔熱壁紙 保溫泡棉貼, RCS-02 甜軟灰",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/GNHom-%E5%9B%9B%E5%AD%A3%E9%98%B2%E9%A2%A8%E9%98%B2%E9%9C%A7%E8%B2%BC%E5%BC%8F%E9%9A%94%E7%86%B1%E5%A3%81%E7%B4%99-%E4%BF%9D%E6%BA%AB%E6%B3%A1%E6%A3%89%E8%B2%BC-21007505920910?itemId=21019657205735&vendorItemId=21086763064082&sourceType=search&rank=3&searchId=ba93958bb81042ff97ca909684134ac2&q=%E6%B3%A1%E6%A3%89,$324,泡棉,x
粗泡棉/海棉,"comet 泡棉磚壁貼 250*100cm, 白色, 1捲",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/comet-%E6%B3%A1%E6%A3%89%E7%A3%9A%E5%A3%81%E8%B2%BC-250*100cm-170044382232576?itemId=170044847783936&vendorItemId=170043895660544&sourceType=search&rank=1&searchId=820ca3ad9af840d6ba51e5b36fc416d9&q=%E6%B3%A1%E6%A3%89,$313,泡棉,x
粗泡棉/海棉,"工藝字壁貼式背面泡棉塗層室內裝飾標示牌, 訂購，退貨, 2個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/%E5%B7%A5%E8%97%9D%E5%AD%97%E5%A3%81%E8%B2%BC%E5%BC%8F%E8%83%8C%E9%9D%A2%E6%B3%A1%E6%A3%89%E5%A1%97%E5%B1%A4%E5%AE%A4%E5%85%A7%E8%A3%9D%E9%A3%BE%E6%A8%99%E7%A4%BA%E7%89%8C-21001836478269?itemId=21003122680992&vendorItemId=21071110377864&sourceType=search&rank=3&searchId=34bcf4b84e26453181bcbd6d4619ff43&q=%E6%B3%A1%E6%A3%89,$453,泡棉,x
粗泡棉/海棉,"YODA泡棉防撞保護貼 安全防護條 L型加厚款-06, 咖啡色, 1條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/YODA%E6%B3%A1%E6%A3%89%E9%98%B2%E6%92%9E%E4%BF%9D%E8%AD%B7%E8%B2%BC-%E5%AE%89%E5%85%A8%E9%98%B2%E8%AD%B7%E6%A2%9D-L%E5%9E%8B%E5%8A%A0%E5%8E%9A%E6%AC%BE-06-470432880721929?itemId=470432880738313&vendorItemId=470432880721925&sourceType=search&rank=4&searchId=820ca3ad9af840d6ba51e5b36fc416d9&q=%E6%B3%A1%E6%A3%89,$284,泡棉,x
粗泡棉/海棉,"泡棉門縫擋 泡棉條32.5 x 2.5cm + 皮革套96 x 10cm + 魔鬼氈96 x 2.2cm, 130783, 1組",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/%E6%B3%A1%E6%A3%89%E9%96%80%E7%B8%AB%E6%93%8B-%E6%B3%A1%E6%A3%89%E6%A2%9D32.5-x-2.5cm-%2B-%E7%9A%AE%E9%9D%A9%E5%A5%9796-x-10cm-%2B-%E9%AD%94%E9%AC%BC%E6%B0%8896-x-2.2cm-480893864984577?itemId=480893865017344&vendorItemId=480893860773902&sourceType=search&rank=16&searchId=a2234605d8b4485ba1c02724320b285f&q=%E6%B3%A1%E6%A3%89,$99,泡棉,x
粗泡棉/海棉,"工藝字壁貼式背面泡棉塗層室內裝飾標示牌, 訂購，退貨, 2個",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=泡棉,71,https://www.tw.coupang.com/products/%E5%B7%A5%E8%97%9D%E5%AD%97%E5%A3%81%E8%B2%BC%E5%BC%8F%E8%83%8C%E9%9D%A2%E6%B3%A1%E6%A3%89%E5%A1%97%E5%B1%A4%E5%AE%A4%E5%85%A7%E8%A3%9D%E9%A3%BE%E6%A8%99%E7%A4%BA%E7%89%8C-21001836478269?itemId=21003122680992&vendorItemId=21071110377864&sourceType=search&rank=3&searchId=34bcf4b84e26453181bcbd6d4619ff43&q=%E6%B3%A1%E6%A3%89,$453,泡棉,x
